cell_line_name,CCLE_Name,alias,COSMICID,sex,source,Achilles_n_replicates,cell_line_NNMD,culture_type,culture_medium,cas9_activity,RRID,WTSI_Master_Cell_ID,sample_collection_site,primary_or_metastasis,primary_disease,Subtype,age,Sanger_Model_ID,depmap_public_comments,lineage,lineage_subtype,lineage_sub_subtype,lineage_molecular_subtype,cell_line_name_og,depmap_id,stripped_cell_line_name
ALLSIL,ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,1295740,Male,DSMZ,,,,,,CVCL_1805,2263,haematopoietic_and_lymphoid_tissue,Primary,Leukemia,"Acute Lymphoblastic Leukemia (ALL), T-cell",17,SIDM00994,,blood,ALL,t_cell,,ALL-SIL,ACH-000105,ALLSIL
AM38,AM38_CENTRAL_NERVOUS_SYSTEM,,910933,Male,HSRRB,,,,,,CVCL_1070,776,central_nervous_system,Primary,Brain Cancer,Glioblastoma,36,SIDM00492,,central_nervous_system,glioma,glioblastoma,,AM-38,ACH-000269,AM38
AML193,AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,Female,ATCC,2,-2.642842793,Suspension,IMDM + 5% FBS + 10ug/ml Insulin+ 5ug/ml Transferrin + 2ng/ml GM-CSF,90.5,CVCL_1071,,haematopoietic_and_lymphoid_tissue,Primary,Leukemia,"Acute Myelogenous Leukemia (AML), M5 (Eosinophilic/Monocytic)",13,,,blood,AML,M5,,AML-193,ACH-000557,AML193
AMO1,AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,1295741,Female,DSMZ,1,-3.400869015,Suspension,RPMI + 10% FBS,63,CVCL_1806,1204,ascites,Primary,Myeloma,"Multiple Myeloma, plasmacytoma",64,SIDM00993,,plasma_cell,multiple_myeloma,plasmacytoma,,AMO-1,ACH-000838,AMO1
AN3CA,AN3CA_ENDOMETRIUM,,910781,Female,ATCC,,,,,,CVCL_0028,1294,endometrium,Metastasis,Endometrial/Uterine Cancer,Endometrial Adenocarcinoma,55,SIDM00901,,uterus,endometrial_adenocarcinoma,,,AN3 CA,ACH-000940,AN3CA
ASPC1,ASPC1_PANCREAS,,910702,Female,ATCC,3,-2.674103926,Adherent,RPMI + 10% FBS,42.8,CVCL_0152,59,ascites,Metastasis,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",62,SIDM00899,,pancreas,exocrine,exocrine_adenocarcinoma,,ASPC-1,ACH-000222,ASPC1
AU565,AU565_BREAST,,910704,Female,ATCC,2,-2.855143322,Adherent,DMEM + 10% FBS,63.8,CVCL_1074,726,pleural_effusion,Metastasis,Breast Cancer,Adenocarcinoma,43,SIDM00898,,breast,breast_adenocarcinoma,ERneg_HER2pos,HER2_amp,AU565,ACH-000248,AU565
BC3C,BC3C_URINARY_TRACT,,,Female,DSMZ,2,-4.91347783,Adherent,McCoy's 5A + 10% FBS,95.1,CVCL_1958,,urinary_tract,Primary,Bladder Cancer,Transitional Cell Carcinoma,82,,,urinary_tract,bladder_carcinoma,bladder_transitional_cell,,BC-3C,ACH-000593,BC3C
BCP1,BCP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,Male,ATCC,,,,,,CVCL_0107,,haematopoietic_and_lymphoid_tissue,,Lymphoma,"B-cell, Non-Hodgkins",92,,,lymphocyte,non_hodgkin_lymphoma,b_cell,,BCP-1,ACH-000923,BCP1
BCPAP,BCPAP_THYROID,,924104,Female,DSMZ,2,-5.12801156,Adherent,RPMI + 10% heat inactivated FBS,92,CVCL_0153,346,thyroid,Primary,Thyroid Cancer,"Carcinoma, papillary",76,SIDM00992,,thyroid,thyroid_carcinoma,papillary,,B-CPAP,ACH-000456,BCPAP
BDCM,BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,Male,ATCC,0,-1.097521055,,RPMI + 10% FBS,74.2,CVCL_4613,,haematopoietic_and_lymphoid_tissue,,Leukemia,"Acute Myelogenous Leukemia (AML), M5 (Eosinophilic/Monocytic)",,,,blood,AML,M5,,BDCM,ACH-000080,BDCM
BECKER,BECKER_CENTRAL_NERVOUS_SYSTEM,,906746,Male,HSRRB,,,,,,CVCL_1093,2090,central_nervous_system,,Brain Cancer,Glioma,57,SIDM00490,,central_nervous_system,glioma,,,BECKER,ACH-001016,BECKER
BEN,BEN_LUNG,,753534,Male,DSMZ,,,,,,CVCL_1082,971,lymph_node,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), unspecified",71,SIDM00990,,lung,NSCLC,,,BEN,ACH-000603,BEN
BFTC905,BFTC905_URINARY_TRACT,,910926,Female,DSMZ,2,-4.901520906,Adherent,DMEM + 10% FBS,61.2,CVCL_1083,1583,urinary_tract,Primary,Bladder Cancer,Transitional Cell Carcinoma,51,SIDM00989,,urinary_tract,bladder_carcinoma,bladder_transitional_cell,,BFTC-905,ACH-000802,BFTC905
BFTC909,BFTC909_KIDNEY,,910698,Male,DSMZ,2,-4.605946177,,DMEM + 10% FBS,61.2,CVCL_1084,1284,kidney,Primary,Kidney Cancer,"Renal Carcinoma, transitional cell",64,SIDM00988,,kidney,renal_cell_carcinoma,transitional_cell,,BFTC-909,ACH-000792,BFTC909
BHT101,BHT101_THYROID,,906696,Female,DSMZ,2,-3.865897053,,DMEM + 20% FBS,96,CVCL_1085,672,lymph_node,Metastasis,Thyroid Cancer,"Carcinoma, papillary",63,SIDM00987,,thyroid,thyroid_carcinoma,papillary,,BHT-101,ACH-000191,BHT101
BHY,BHY_UPPER_AERODIGESTIVE_TRACT,,753535,Male,DSMZ,2,-3.923963104,,DMEM + 10% FBS,91.2,CVCL_1086,748,upper_aerodigestive_tract,Primary,Head and Neck Cancer,"Squamous Cell Carcinoma, oral",52,SIDM00986,,upper_aerodigestive,upper_aerodigestive_squamous,oral,,BHY,ACH-000548,BHY
BICR16,BICR16_UPPER_AERODIGESTIVE_TRACT,,,Male,ECACC,2,-2.456833166,Adherent,DMEM + 10% FBS + 2mM Glutamine,73.7,CVCL_2308,,upper_aerodigestive_tract,Primary,Head and Neck Cancer,"Squamous Cell Carcinoma, oral",,,,upper_aerodigestive,upper_aerodigestive_squamous,oral,,BICR 16,ACH-000503,BICR16
BICR22,BICR22_UPPER_AERODIGESTIVE_TRACT,,1240121,Male,ECACC,2,-4.102695219,Adherent,DMEM + 10% FBS + 2mM Glutamine + 0.4ug/ml Hydrocortisone,94.4,CVCL_2310,1575,lymph_node,Metastasis,Head and Neck Cancer,"Squamous Cell Carcinoma, oral",,SIDM00485,,upper_aerodigestive,upper_aerodigestive_squamous,oral,,BICR 22,ACH-000794,BICR22
BICR31,BICR31_UPPER_AERODIGESTIVE_TRACT,,1290725,Male,ECACC,2,-3.481701866,Adherent,DMEM + 10% FBS + 2mM Glutamine + 0.4ug/ml Hydrocortisone,55.7,CVCL_2312,940,upper_aerodigestive_tract,Primary,Head and Neck Cancer,"Squamous Cell Carcinoma, oral",,SIDM00078,,upper_aerodigestive,upper_aerodigestive_squamous,oral,,BICR 31,ACH-000228,BICR31
BICR56,BICR56_UPPER_AERODIGESTIVE_TRACT,,,Female,ECACC,2,-4.86205285,Adherent,DMEM + 10% FBS + 2mM Glutamine + 0.4ug/ml Hydrocortisone,80.7,CVCL_2313,,upper_aerodigestive_tract,Primary,Head and Neck Cancer,"Squamous Cell Carcinoma, oral",,,,upper_aerodigestive,upper_aerodigestive_squamous,oral,,BICR 56,ACH-000771,BICR56
BICR6,BICR6_UPPER_AERODIGESTIVE_TRACT,,,Male,ECACC,2,-3.895380824,Adherent,DMEM + 10% FBS + 2mM Glutamine + 0.4ug/ml Hydrocortisone,89.4,CVCL_2314,,upper_aerodigestive_tract,Primary,Head and Neck Cancer,"Squamous Cell Carcinoma, oral",,,,upper_aerodigestive,upper_aerodigestive_squamous,oral,,BICR 6,ACH-000415,BICR6
BL41,BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,910706,Male,DSMZ,,,,,,CVCL_1087,737,haematopoietic_and_lymphoid_tissue,,Lymphoma,"B-cell, Non-Hodgkins, Burkitts",8,SIDM00985,,lymphocyte,non_hodgkin_lymphoma,b_cell_burkitt,,BL-41,ACH-000245,BL41
BL70,BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,Male,DSMZ,1,-2.17785161,Adherent,RPMI + 10% heat inactivated FBS + 1mM Sodium pyruvate + 50uM 2-Mercaptoethanol,37.3,CVCL_1088,,haematopoietic_and_lymphoid_tissue,,Lymphoma,"B-cell, Non-Hodgkins, Burkitts",16,SIDM00074,,lymphocyte,non_hodgkin_lymphoma,b_cell_burkitt,,BL-70,ACH-000402,BL70
BT12,BT12_SOFT_TISSUE,,,Female,Academic lab,2,-3.575145021,Adherent,DMEM; 10% FBS,78.7,CVCL_M155,,soft_tissue,,Rhabdoid,Atypical Teratoid Rhabdoid Tumor (ATRT),0.1,,,soft_tissue,ATRT,,,BT-12,ACH-000160,BT12
BT16,BT16_SOFT_TISSUE,,,Male,Academic lab,2,-2.031638342,not found,not found,47.7,CVCL_M156,,soft_tissue,,Rhabdoid,Atypical Teratoid Rhabdoid Tumor (ATRT),2,,,soft_tissue,ATRT,,,BT-16,ACH-001020,BT16
BT20,BT20_BREAST,,906801,Female,ATCC,,,,,,CVCL_0178,2264,breast,Primary,Breast Cancer,Breast Ductal Carcinoma,74,SIDM00893,,breast,breast_ductal_carcinoma,ERneg_HER2neg,basal_A,BT-20,ACH-000536,BT20
BT474,BT474_BREAST,,946359,Female,ATCC,,,,,,CVCL_0179,412,breast,Primary,Breast Cancer,Breast Ductal Carcinoma,60,SIDM00963,,breast,breast_ductal_carcinoma,ERpos_HER2pos,HER2_amp,BT-474,ACH-000927,BT474
BT549,BT549_BREAST,,905951,Female,ATCC,3,-4.531994178,Adherent,RPMI + 10% heat inactivated FBS,77.4,CVCL_1092,1835,breast,Primary,Breast Cancer,Breast Ductal Carcinoma,72,SIDM00122,,breast,breast_ductal_carcinoma,ERneg_HER2neg,basal_B,BT-549,ACH-000288,BT549
BV173,BV173_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,910710,Male,DSMZ,,,,,,CVCL_0181,321,haematopoietic_and_lymphoid_tissue,,Leukemia,"Chronic Myelogenous Leukemia (CML), blast crisis",45,SIDM00962,,blood,CML,blast_crisis,,BV-173,ACH-000432,BV173
BXPC3,BXPC3_PANCREAS,,906693,Female,ATCC,2,-4.19943711,Adherent,RPMI + 10% FBS,81.6,CVCL_0186,1978,pancreas,Primary,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",61,SIDM00132,,pancreas,exocrine,exocrine_adenocarcinoma,,BXPC-3,ACH-000535,BXPC3
C2BBE1,C2BBE1_LARGE_INTESTINE,,910700,Male,ATCC,3,-4.135491417,Adherent,DMEM + 10% FBS + Glutamine + Insulin-Transferrin-Selenium,94.2,CVCL_1096,2104,Colon,Primary,Colon/Colorectal Cancer,Adenocarcinoma,72,SIDM01233,,colorectal,colorectal_adenocarcinoma,,,C2BBE1,ACH-000009,C2BBE1
C32,C32_SKIN,,906830,Male,ATCC,2,-3.442187665,Adherent,EMEM + 10% FBS + 0.1mM NEAA,66.1,CVCL_1097,2242,skin,Primary,Skin Cancer,"Melanoma, amelanotic",53,SIDM00890,,skin,melanoma,amelanotic,,C32,ACH-000580,C32
CA46,CA46_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,910703,Male,ATCC,,,,,,CVCL_1101,1190,ascites,,Lymphoma,"B-cell, Non-Hodgkins, Burkitts",,SIDM00907,,lymphocyte,non_hodgkin_lymphoma,b_cell_burkitt,,CA46,ACH-000440,CA46
CADOES1,CADOES1_BONE,CADO-ES-1,753539,Female,DSMZ,0,-1.580697511,Mixed adherent and suspension,RPMI + 10% FBS,97.8,CVCL_1103,1523,pleural_effusion,Metastasis,Bone Cancer,Ewings Sarcoma,19,SIDM00961,,bone,Ewing_sarcoma,,EWS_ERG,CADO-ES1,ACH-000210,CADOES1
CAKI1,CAKI1_KIDNEY,,905963,Male,ATCC,2,-2.71998161,Adherent,McCoy's 5A + 10% FBS,50.5,CVCL_0234,289,skin,Metastasis,Kidney Cancer,"Renal Carcinoma, clear cell",49,SIDM00941,,kidney,renal_cell_carcinoma,clear_cell,,CAKI-1,ACH-000433,CAKI1
CAKI2,CAKI2_KIDNEY,,,Male,ATCC,2,-2.9532949,Adherent,McCoy's 5A + 10% FBS,55.5,CVCL_0235,,kidney,Primary,Kidney Cancer,"Renal Carcinoma, clear cell",69,,,kidney,renal_cell_carcinoma,clear_cell,,CAKI-2,ACH-000234,CAKI2
CAL120,CAL120_BREAST,,906826,Female,DSMZ,2,-4.064198171,Adherent,DMEM + 10% FBS,80.2,CVCL_1104,1748,pleural_effusion,Metastasis,Breast Cancer,Carcinoma,43,SIDM00940,,breast,breast_carcinoma,ERneg_HER2neg,basal_B,CAL-120,ACH-000212,CAL120
CAL12T,CAL12T_LUNG,,753540,Male,DSMZ,2,-2.37947383,Adherent,DMEM + 10% heat inactivated FBS,84.2,CVCL_1105,2252,lung,Primary,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), unspecified",,SIDM00939,,lung,NSCLC,,,CAL-12T,ACH-000826,CAL12T
CAL148,CAL148_BREAST,,924106,Female,DSMZ,,,,,,CVCL_1106,1610,pleural_effusion,Metastasis,Breast Cancer,Breast Ductal Carcinoma,58,SIDM00938,,breast,breast_ductal_carcinoma,ERneg_HER2neg,luminal_HER2_amp,CAL-148,ACH-000902,CAL148
CAL27,CAL27_UPPER_AERODIGESTIVE_TRACT,,910916,Male,ATCC,1,-3.428613005,Adherent,DMEM + 10% FBS,85.7,CVCL_1107,1911,upper_aerodigestive_tract,Primary,Head and Neck Cancer,Squamous Cell Carcinoma,56,SIDM00937,,upper_aerodigestive,upper_aerodigestive_squamous,,,CAL 27,ACH-000832,CAL27
CAL29,CAL29_URINARY_TRACT,,1290730,Female,DSMZ,2,-3.569374059,Adherent,DMEM + 10% FBS,82.8,CVCL_1808,2040,urinary_tract,Primary,Bladder Cancer,Transitional Cell Carcinoma,80,SIDM00936,,urinary_tract,bladder_carcinoma,bladder_transitional_cell,,CAL-29,ACH-000142,CAL29
CAL33,CAL33_UPPER_AERODIGESTIVE_TRACT,,753541,Male,DSMZ,2,-3.465460064,Adherent,DMEM + 10% FBS + 2 mM L-glutamine,85.7,CVCL_1108,2041,upper_aerodigestive_tract,Primary,Head and Neck Cancer,"Squamous Cell Carcinoma, oral",69,SIDM00942,,upper_aerodigestive,upper_aerodigestive_squamous,oral,,CAL-33,ACH-000518,CAL33
CAL51,CAL51_BREAST,,910927,Female,DSMZ,3,-4.21740759,Adherent,DMEM + 20% FBS,56.8,CVCL_1110,4,pleural_effusion,Metastasis,Breast Cancer,Carcinoma,45,SIDM00933,,breast,breast_carcinoma,ERneg_HER2neg,basal_B,CAL-51,ACH-000856,CAL51
CAL54,CAL54_KIDNEY,,910952,Male,DSMZ,,,,,,CVCL_1111,482,pleural_effusion,Metastasis,Kidney Cancer,Renal Cell Carcinoma,75,SIDM00932,,kidney,renal_cell_carcinoma,,,CAL-54,ACH-000457,CAL54
CAL62,CAL62_THYROID,,906828,Female,DSMZ,2,-4.539107428,,DMEM + 10% FBS,92.5,CVCL_1112,1753,pleural_effusion,Primary,Thyroid Cancer,"Carcinoma, anaplastic",70,SIDM00931,,thyroid,thyroid_carcinoma,anaplastic,,CAL-62,ACH-000174,CAL62
CAL78,CAL78_BONE,,1290765,Male,DSMZ,2,-5.56636951,Adherent,RPMI + 20% FBS,66.6,CVCL_1809,1148,soft_tissue,,Bone Cancer,Chondrosarcoma,76,SIDM00929,,bone,chondrosarcoma,,,CAL-78,ACH-000516,CAL78
CAL851,CAL851_BREAST,,910852,Female,DSMZ,,,,,,CVCL_1114,113,breast,Primary,Breast Cancer,Carcinoma,35,SIDM00928,,breast,breast_carcinoma,ERneg_HER2neg,basal_A,CAL-85-1,ACH-000857,CAL851
CALU1,CALU1_LUNG,,,Male,ATCC,2,-4.923114127,Adherent,McCoy's 5A + 10% FBS,78.7,CVCL_0608,,pleura,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma",47,,,lung,NSCLC,NSCLC_squamous,,CALU-1,ACH-000511,CALU1
CALU3,CALU3_LUNG,,687777,Male,ATCC,,,,,,CVCL_0609,219,pleural_effusion,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",25,SIDM00922,,lung,NSCLC,NSCLC_adenocarcinoma,,CALU-3,ACH-000392,CALU3
CALU6,CALU6_LUNG,,724859,Female,ATCC,2,-5.603670863,Adherent,EMEM + 10% FBS,91.9,CVCL_0236,1844,pleural_effusion,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), unspecified",61,SIDM00921,,lung,NSCLC,,,CALU-6,ACH-000264,CALU6
CAMA1,CAMA1_BREAST,,946382,Female,ATCC,3,-2.913263959,Adherent,EMEM + 10% FBS,93.5,CVCL_1115,363,pleural_effusion,Metastasis,Breast Cancer,Carcinoma,51,SIDM00920,,breast,breast_carcinoma,ERpos_HER2neg,luminal,CAMA-1,ACH-000783,CAMA1
CAOV3,CAOV3_OVARY,,906825,Female,ATCC,3,-2.503625768,Adherent,DMEM + 10% FBS,77.4,CVCL_0201,320,ovary,Primary,Ovarian Cancer,"Adenocarcinoma, high grade serous",54,SIDM00919,,ovary,ovary_adenocarcinoma,high_grade_serous,,CAOV-3,ACH-000713,CAOV3
CAPAN1,CAPAN1_PANCREAS,,753624,Male,ATCC,,,,,,CVCL_0237,641,liver,Metastasis,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",40,SIDM00934,,pancreas,exocrine,exocrine_adenocarcinoma,,CAPAN-1,ACH-000354,CAPAN1
CAPAN2,CAPAN2_PANCREAS,,910915,Male,ATCC,,,,,,CVCL_0026,703,pancreas,Primary,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",56,SIDM00943,,pancreas,exocrine,exocrine_adenocarcinoma,,CAPAN-2,ACH-000107,CAPAN2
CAS1,CAS1_CENTRAL_NERVOUS_SYSTEM,,910943,Male,ICLC,2,-3.512392527,Adherent,DMEM + 10% FBS,57.1,CVCL_1117,604,central_nervous_system,Primary,Brain Cancer,Glioblastoma,63,SIDM00212,,central_nervous_system,glioma,glioblastoma,,CAS-1,ACH-000464,CAS1
CCFSTTG1,CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,,906823,Female,ATCC,2,-4.123584686,Adherent,RPMI + 10% FBS,81.5,CVCL_1118,876,central_nervous_system,Primary,Brain Cancer,Astrocytoma,68,SIDM00131,,central_nervous_system,glioma,astrocytoma,,CCF-STTG1,ACH-000329,CCFSTTG1
CCK81,CCK81_LARGE_INTESTINE,,1240123,Female,HSRRB,3,-1.64134996,,EMEM + 10% FBS,50.1,CVCL_2873,1915,large_intestine,Metastasis,Colon/Colorectal Cancer,Adenocarcinoma,,SIDM00487,,colorectal,colorectal_adenocarcinoma,,MSI,CCK-81,ACH-000963,CCK81
