"question","answer","category","tags"
"What is the project structure and file organization?","Project uses small focused files (<350 lines), single responsibility per file, separation of utilities/constants/types. Structure: ai/ (agents/teams/workflows), api/ (FastAPI), lib/ (shared services), tests/ (testing).\n\nProject structure:\nai/\n├── agents/registry.py\n├── teams/registry.py\n└── workflows/registry.py\napi/\n├── serve.py  # Production\n└── main.py   # Development\nlib/\n├── config/settings.py\n└── knowledge/csv_hot_reload.py\n\nReference: ai/, api/, lib/, tests/","Architecture","structure,organization,architecture,beginner"
"What are the API endpoints and structure?","Main API routes in api/routes/v1_router.py. Includes health check (/health), version info (/version), MCP integration (/mcp). Production server in api/serve.py, development playground in api/main.py.\n\nExample endpoints:\n# FastAPI endpoints\n@router.get(""/health"")\n@router.get(""/version"")\n@router.post(""/mcp"")\n\n# Start production\napi/serve.py\n# Start development\napi/main.py\n\nReference: api/routes/v1_router.py, api/serve.py, api/main.py","API","api,fastapi,routes,intermediate"
"How do I implement error handling patterns?","Use proper exception hierarchy, comprehensive error logging, input validation, graceful failure handling. Log errors with context using structured logging. Include error recovery strategies and user-friendly messages.\n\nExample error handling:\ntry:\n    result = process_request(data)\nexcept ValidationError as e:\n    logger.error(f""Validation failed: {e}"")\n    raise HTTPException(400, detail=str(e))\nexcept Exception as e:\n    logger.exception(""Unexpected error"")\n    raise HTTPException(500)\n\nReference: lib/, api/","Patterns","error-handling,logging,exceptions,advanced"
"What is the clean architecture implementation pattern?","Structure: Controller (presentation) → Service (application logic) → Repository (domain) → Models (entities). Separate concerns, use dependency injection, implement interfaces for loose coupling between layers.\n\nExample structure:\n# Controller layer\nclass UserController:\n    def __init__(self, service: IUserService):\n        self._service = service\n\n# Service layer\nclass UserService:\n    def __init__(self, repo: IUserRepository):\n        self._repo = repo\n\nReference: api/, lib/","Architecture","clean-architecture,patterns,separation,advanced"
"How do I configure Docker deployment?","Production: 'make prod' (full stack), Development: 'make dev' (local). Check status: 'make status', logs: 'make logs', stop: 'make stop-all'.\n\nExample commands:\nmake prod      # Production stack\nmake dev       # Development\nmake status    # Check all\nmake logs      # View logs\nmake stop-all  # Stop everything\n\nReference: Makefile, docker/","Deployment","docker,deployment,production,advanced"
"What are the Git commit requirements?","MANDATORY: Always co-author commits with 'Co-Authored-By: Automagik Genie <genie@namastex.ai>'. Use conventional commit format. Include context and reasoning in commit messages for better tracking.\n\nExample commit:\ngit commit -m ""feat: add new agent capability\n\nImplements specialized routing logic for team coordination\n\nCo-Authored-By: Automagik Genie <genie@namastex.ai>""\n\nReference: CLAUDE.md","Standards","git,commits,requirements,beginner"
"How do I debug and troubleshoot issues?","Check logs: 'make logs'. Check status: 'make status'. Health check: 'make health'. Enable debug mode in agent config. Use structured logging with context for better diagnostics.\n\nExample debugging:\nmake logs        # System logs\nmake health      # Health check\nmake status      # All status\n\n# In config.yaml\ndisplay:\n  show_tool_calls: true\n\nReference: Makefile","Debugging","debugging,logs,health-check,intermediate"
"What is the TDD workflow integration?","Follow Red-Green-Refactor cycle: 1) Write failing tests first 2) Implement minimal code to pass 3) Refactor while keeping tests green. Use pytest for testing, ensure comprehensive test coverage for new features.\n\nExample TDD cycle:\n# 1. RED: Write failing test\ndef test_new_feature():\n    assert new_feature() == expected\n\n# 2. GREEN: Minimal implementation\ndef new_feature():\n    return expected\n\n# 3. REFACTOR: Improve while tests pass\n\nReference: tests/","Testing","tdd,testing,red-green-refactor,advanced"
"How do I use UV package management?","UV is the exclusive package manager. Use 'uv add <package>' for dependencies, 'uv run python' for execution, 'uv sync' for installation. Never use pip directly. UV ensures reproducible environments.\n\nExample UV commands:\nuv add fastapi      # Add dependency\nuv run python main.py  # Execute\nuv run pytest       # Run tests\nuv sync             # Install deps\n# Never: pip install\n\nReference: pyproject.toml","Tools","uv,packages,dependencies,beginner"
"What are the memory and context management features?","Configure memory retention, user-specific memories, agentic learning, session summaries, and context sharing. Memory settings control conversation history, learning capabilities, and cross-session continuity.\n\nExample configuration:\nmemory:\n  num_history_runs: 30\n  enable_user_memories: true\n  enable_agentic_memory: true\n  enable_session_summaries: true\n  memory_retention_days: 180\ncontext:\n  add_state_in_messages: true\n  enable_agentic_context: true\n\nReference: ai/agents/template-agent/config.yaml","Features","memory,context,learning,advanced"
"How do I implement workflow background execution?","Set background_execution: true in workflow config.yaml. Workflows can run long-running processes, handle async operations, and manage complex multi-step business logic independently of user interaction.\n\nExample configuration:\nworkflow:\n  name: Background Processor\n  workflow_id: bg-processor\n  background_execution: true\n  description: Long-running workflow\n\n# Handles async operations automatically\n\nReference: ai/workflows/template-workflow/config.yaml","Workflows","workflows,background,async,advanced"
"What is the component versioning strategy?","Each component (agent/team/workflow) has independent versioning. Increment version numbers for changes. Use hive.component_versions table to track evolution. Enables rollback and deployment management.\n\nExample usage:\n# Query component versions\nSELECT * FROM hive.component_versions\nWHERE component_type = 'agent';\n\n# YAML config\nagent:\n  version: 2  # Increment for changes\n\nReference: lib/, ai/","Architecture","versioning,components,tracking,advanced"
"How do I access the knowledge base programmatically?","Use lib/knowledge/csv_hot_reload.py for dynamic CSV loading. Knowledge base supports hot reload, filtering by category/tags, and vector embeddings for semantic search capabilities.\n\nExample code:\nfrom lib.knowledge.csv_hot_reload import KnowledgeBase\n\nkb = KnowledgeBase()\nresults = kb.search_by_category('Development')\n# Hot reload on file changes\n\nReference: lib/knowledge/csv_hot_reload.py, lib/knowledge/knowledge_rag.csv","Knowledge","knowledge,csv,hot-reload,programming,advanced"
