cpd_id,master_cpd_id,cpd_name,broad_cpd_id,top_test_conc_umol,cpd_status,inclusion_rationale,gene_symbol_of_protein_target,target_or_activity_of_compound,source_name,source_catalog_id,cpd_smiles
ALISERTIB:NAVITOCLAX (2:1 MOL/MOL),660282,ALISERTIB:NAVITOCLAX (2:1 MOL/MOL),BRD-M07476339,50.0,probe,combination,AURKA;AURKB;BCL2;BCL2L1;BCL2L2,"inhibitor of aurora kinases A and B;inhibitor of BCL2, BCL-xL, and BCL-W",,,COc1cc(Nc2ncc3CN=C(c4cc(Cl)ccc4-c3n2)c2c(F)cccc2OC)ccc1C(O)=O.CC1(C)CCC(=C(CN2CCN(CC2)c2ccc(cc2)C(=O)NS(=O)(=O)c2ccc(N[C@H](CCN3CCOCC3)CSc3ccccc3)c(c2)S(=O)(=O)C(F)(F)F)C1)c1ccc(Cl)cc1
ALVOCIDIB,687720,ALVOCIDIB,BRD-K68682020,66.0,clinical,CTEP;kinome,CDK1;CDK2;CDK4;CDK6,inhibitor of cyclin-dependent kinases,Selleck,S1230,CN1CC[C@H]([C@H](O)C1)c1c(O)cc(O)c2c1oc(cc2=O)-c1ccccc1Cl
AM-580,58455,AM-580,BRD-K06854232,530.0,probe,chromatin;pilot-set,RARA,agonist of retinoic acid receptor alpha,Sigma-Aldrich,A8843,CC1(C)CCC(C)(C)c2cc(ccc12)C(=O)Nc1ccc(cc1)C(O)=O
APICIDIN,61097,APICIDIN,BRD-K64606589,33.0,probe,chromatin;outreach,HDAC1;HDAC2;HDAC3;HDAC6;HDAC8,"inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8",Fermentek Ltd,Fermentek-AC001,CC[C@@H](C)[C@@H]1NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC(=O)[C@H](CCCCCC(=O)CC)NC(=O)[C@H]2CCCCN2C1=O
AT-406,710154,AT-406,BRD-K02834582,66.0,probe,lit-search;synthesis,XIAP,SMAC mimetic; inhibitor of inhibitor of apoptosis proteins (IAPs),Selleck,S2754,CNC(C)C(=O)NC1CN(CCC2CCC(N2C1=O)C(=O)NC(c3ccccc3)c4ccccc4)C(=O)CC(C)C
AT13387,688229,AT13387,BRD-K58435339,66.0,clinical,CTEP,HSP90AA1,inhibitor of HSP90,Selleck,S1163,CC(C)c1cc(C(=O)N2Cc3ccc(CN4CCN(C)CC4)cc3C2)c(O)cc1O
AT7867,660409,AT7867,BRD-K12040459,66.0,probe,chromatin;kinome,AKT1;AKT2;AKT3;RPS6KB2,inhibitor of AKT1/2/3 and S6K,Selleck,S1558,Clc1ccc(cc1)C1(CCNCC1)c1ccc(cc1)-c1cn[nH]c1
AUSTOCYSTIN D,416775,AUSTOCYSTIN D,BRD-K25987073,37.0,probe,pilot-set,,natural product; inducer of DNA damage,Harvard Medical School,,CC(C)(O)CCc1ccc(O)c2c1oc1cc3O[C@H]4OC=C[C@@]4(O)c3c(O)c1c2=O
AVICIN D,688975,AVICIN D,BRD-A15100685,66.0,probe,outreach,,natural product,MD Anderson Cancer Center,,CC1O[C@@H](OCC2O[C@@H](O[C@H]3CC[C@@]4(C)C(CC[C@]5(C)C4CC=C4C6CC(C)(C)[C@H](C[C@@]6([C@H](O)C[C@@]54C)C(=O)O[C@@H]4OC(CO)[C@@H](O)[C@@H](O)[C@@H]4O[C@@H]4OC(C)[C@H](O[C@@H]5O[C@@H](CO)[C@H](O)[C@@H]5O)[C@@H](O[C@@H]5OC(CO)[C@@H](O)[C@@H](O)[C@@H]5O)[C@@H]4O)OC(=O)C(\CO)=C\CC[C@](C)(O[C@@H]4OC(C)[C@@H](OC(=O)C(\CO)=C\CCC(C)(O)C=C)[C@@H](O)[C@@H]4O)C=C)C3(C)C)[C@@H](NC(C)=O)[C@H](O)[C@@H]2O)[C@@H](O[C@@H]2OC[C@@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H]1O
AVRAINVILLAMIDE,411856,AVRAINVILLAMIDE,BRD-K10466330,33.0,probe,pilot-set,NPM1,natural product; inhibitor of nucleophosmin,Harvard University,,CC1(C)Oc2ccc3C4=C[C@@]56NC(=O)[C@]7(CCCN7C5=O)C[C@H]6C(C)(C)C4=[N+]([O-])c3c2C=C1
AXITINIB,348990,AXITINIB,BRD-K29905972,66.0,FDA,kinome,FLT1;FLT3;KDR;KIT;PDGFRA;PDGFRB,"inhibitor of VEGFRs, c-KIT, and PDGFR alpha and beta",Selleck,S1005,CNC(=O)c1ccccc1Sc1ccc2c(\C=C\c3ccccn3)n[nH]c2c1
AZ-3146,660087,AZ-3146,BRD-K59146805,66.0,probe,lit-search,TTK,inhibitor of TTK protein kinase,Selleck,S2731,COc1cc(OC2CCN(C)CC2)ccc1Nc1ncc2n(C)c(=O)n(C3CCCC3)c2n1
AZACITIDINE,26874,AZACITIDINE,BRD-K03406345,66.0,FDA,CTEP;std-of-care,DNMT1,inhibitor of DNA methyltransferase,Selleck,S1782,Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1
AZD1480,660306,AZD1480,BRD-K65928735,66.0,clinical,CTEP;kinome,JAK1;JAK2,inhibitor of Janus kinases 1 and 2,Selleck,S2162,C[C@H](Nc1ncc(Cl)c(Nc2cc(C)[nH]n2)n1)c1ncc(F)cn1
AZD4547,660325,AZD4547,BRD-K28392481,66.0,clinical,lit-search,FGFR1;FGFR2;FGFR3,inhibitor of fibroblast growth factor receptors,Active Biochem,A-1174,COc1cc(CCc2cc(NC(=O)c3ccc(cc3)N3C[C@H](C)N[C@H](C)C3)n[nH]2)cc(OC)c1
AZD6482,639390,AZD6482,BRD-K58772419,66.0,clinical,kinome,PIK3CB;PIK3CD,inhibitor of PI3K catalytic subunits beta and delta,Selleck,S1462,C[C@@H](Nc1ccccc1C(O)=O)c1cc(C)cn2c1nc(cc2=O)N1CCOCC1
AZD7545,411814,AZD7545,BRD-K52836380,74.0,probe,kinome;pilot-set,PDK2,inhibitor of pyruvate dehydrogenase kinase 2,WuXi AppTec;WuXi AppTec,TH02357-029-A;TH02357-029-B,CN(C)C(=O)c1ccc(cc1)S(=O)(=O)c1ccc(NC(=O)[C@@](C)(O)C(F)(F)F)c(Cl)c1
AZD7762,660777,AZD7762,BRD-K86525559,66.0,clinical,kinome,CHEK1;CHEK2,inhibitor of checkpoint kinases 1 and 2,Selleck,S1532,NC(=O)Nc1cc(sc1C(=O)N[C@H]1CCCNC1)-c1cccc(F)c1
AZD8055,609639,AZD8055,BRD-K69932463,66.0,clinical,kinome,MTOR,inhibitor of mTOR,Selleck,S1555,COc1ccc(cc1CO)-c1ccc2c(nc(nc2n1)N1CCOC[C@@H]1C)N1CCOC[C@@H]1C
B02,122255,B02,BRD-K10882151,130.0,probe,chromatin;pilot-set,RAD51,inhibitor of RAD51,Vitas-M Laboratory Ltd.,STK856883,O=c1n(Cc2ccccc2)c(\C=C\c2cccnc2)nc2ccccc12
BAFILOMYCIN A1,467037,BAFILOMYCIN A1,BRD-K86787118,0.33,probe,outreach,ATP6V0A1,inhibitor of the vacuolar-type H+-ATPase,EMD Biosciences,BML-CM110-0100,CO[C@H]1\C=C\C=C(C)\C[C@@H](C)[C@H](O)[C@H](C)\C=C(C)\C=C(OC)\C(=O)O[C@@H]1[C@@H](C)[C@@H](O)[C@H](C)[C@H]1C[C@@H](O)[C@H](C)[C@H](O1)C(C)C
BARASERTIB,601923,BARASERTIB,BRD-K63923597,66.0,clinical,kinome,AURKB,inhibitor of aurora kinase B,Selleck,S1147,CCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1
BARDOXOLONE METHYL,660318,BARDOXOLONE METHYL,BRD-K59437938,66.0,clinical,lit-search,,electrophilic inducer of the NFE2L2-KEAP1 pathway,Axon Medchem,1772,COC(=O)[C@@]12CCC(C)(C)C[C@@H]1[C@@H]1C(=O)C=C3[C@]4(C)C=C(C#N)C(=O)C(C)(C)[C@H]4CC[C@]3(C)[C@@]1(C)CC2
BAX CHANNEL BLOCKER,18311,BAX CHANNEL BLOCKER,BRD-A18763547,33.0,probe,pilot-set,BAX,inhibitor of BAX-mediated mitochondrial cytochrome c release,Maybridge,RJC01737,OC(CN1CCNCC1)Cn1c2ccc(Br)cc2c2cc(Br)ccc12
BCL-LZH-4,688516,BCL-LZH-4,BRD-A68258842,66.0,probe,lit-search;synthesis,,"inhibitor of BCL2, BCL-xL, and MCL1",Broad Institute of MIT and Harvard,,COc1ccc(cc1)C1C(C(=O)Nc2ccccc2)=C(C)N=c2s\c(=C/c3cn(Cc4ccccc4)c4ccccc34)c(=O)n12
BEC,60679,BEC,BRD-K53792571,270.0,probe,pilot-set,ARG1;ARG2,inhibitor of arginase I and II,EMD Biosciences,197900,N[C@H](CSCCB(O)O)C(O)=O
BELINOSTAT,60225,BELINOSTAT,BRD-K17743125,66.0,clinical,chromatin;CTEP,HDAC1;HDAC2;HDAC3;HDAC6;HDAC8,"inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8",Selleck,S1085,ONC(=O)\C=C\c1cccc(c1)S(=O)(=O)Nc1ccccc1
BENDAMUSTINE,374755,BENDAMUSTINE,BRD-K17068645,66.0,FDA,std-of-care,,DNA alkylator,Selleck,S1212,Cn1c(CCCC(O)=O)nc2cc(ccc12)N(CCCl)CCCl
BETULINIC ACID,23256,BETULINIC ACID,BRD-K45401373,66.0,probe,chromatin;lit-search,,natural product; inhibitor of specificity protein 1 transcription factor in cells,Tocris Bioscience,3906,CC(=C)[C@@H]1CC[C@@]2(CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]34C)[C@@H]12)C(O)=O
BEXAROTENE,374747,BEXAROTENE,BRD-K92441787,66.0,FDA,chromatin;std-of-care,RXRA;RXRB;RXRG,inhibitor of retinoid X receptors,LC Laboratories,B-2422,Cc1cc2c(cc1C(=C)c1ccc(cc1)C(O)=O)C(C)(C)CCC2(C)C
BI-2536,347813,BI-2536,BRD-K64890080,33.0,clinical,kinome;pilot-set,PLK1,inhibitor of polo-like kinase 1 (PLK1),Selleck,S1109,CC[C@H]1N(C2CCCC2)c2nc(Nc3ccc(cc3OC)C(=O)NC3CCN(C)CC3)ncc2N(C)C1=O
BIBR-1532,417982,BIBR-1532,BRD-K04623885,270.0,probe,chromatin;pilot-set,TERT,inhibitor of telomerase reverse transcriptase,Selleck,S1186,C\C(=C/C(=O)Nc1ccccc1C(O)=O)c1ccc2ccccc2c1
BIRB-796,660412,BIRB-796,BRD-K74065929,66.0,probe,kinome,MAPK11;MAPK11;MAPK14,inhibitor of p38 MAPK,Selleck,S1574,Cc1ccc(cc1)-n1nc(cc1NC(=O)Nc1ccc(OCCN2CCOCC2)c2ccccc12)C(C)(C)C
BIRINAPANT,660778,BIRINAPANT,BRD-K18589165,66.0,clinical,CTEP;lit-search,DIABLO;XIAP,SMAC mimetic; inhibitor of inhibitor of apoptosis proteins (IAPs),Active Biochem,A-1901,CC[C@H](NC(=O)[C@H](C)NC)C(=O)N1C[C@@H](O)C[C@H]1Cc1c([nH]c2cc(F)ccc12)-c1cc2c(C[C@@H]3C[C@H](O)CN3C(=O)[C@H](CC)NC(=O)[C@H](C)NC)cc(F)cc2[nH]1
BIX-01294,53705,BIX-01294,BRD-K26818574,33.0,probe,chromatin;pilot-set,EHMT2,inhibitor of G9a histone methyltransferase,Broad Institute of MIT and Harvard,,COc1cc2nc(nc(NC3CCN(Cc4ccccc4)CC3)c2cc1OC)N1CCCN(C)CC1
BLEBBISTATIN,50140,BLEBBISTATIN,BRD-A75817871,130.0,probe,pilot-set,MYH1;MYH2,inhibitor of myosin II ATPases,Cayman,13165,Cc1ccc2N=C3N(CCC3(O)C(=O)c2c1)c1ccccc1
BLEOMYCIN A2,639531,BLEOMYCIN A2,BRD-A42083487,66.0,FDA,std-of-care,,inducer of DNA damage,Selleck;Calbiochem,S1214;203401-10MG,C[C@@H](O)[C@@H](NC(=O)[C@H](C)[C@@H](O)[C@H](C)NC(=O)[C@@H](NC(=O)c1nc(nc(N)c1C)[C@H](CC(N)=O)NC[C@@H](N)C(N)=O)C(O[C@H]1O[C@H](CO)[C@H](O)[C@@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](OC(N)=O)[C@@H]1O)c1c[nH]cn1)C(=O)NCCc1nc(cs1)-c1nc(cs1)C(=O)NCCC[S+](C)C
BMS-195614,660228,BMS-195614,BRD-K45935533,66.0,probe,chromatin;lit-search,RARA;RARB;RARG,antagonist of retinoic acid receptors,Tocris Bioscience,3660,CC1(C)CC=C(c2cnc3ccccc3c2)c2cc(ccc12)C(=O)Nc1ccc(cc1)C(O)=O
BMS-270394,660321,BMS-270394,BRD-K04905989,66.0,probe,chromatin;lit-search,RARG,antagonist of retinoic acid receptor gamma,Axon Medchem,1173,CC1(C)CCC(C)(C)c2cc(ccc12)[C@@H](O)C(=O)Nc1ccc(cc1F)C(O)=O
BMS-345541,622911,BMS-345541,BRD-K13566078,66.0,probe,kinome,IKBKB,inhibitor of IKK-2,Axon Medchem,Axon 1731,Cc1cnc2c(NCCN)nc3ccc(C)cc3n12
BMS-536924,411859,BMS-536924,BRD-K34581968,37.0,probe,pilot-set,IGF1R;INSR,inhibitor of insulin-like growth factor 1 receptor (IGF1R) and insulin receptor (INSR),Selleck,S1012,Cc1cc(cc2[nH]c(nc12)-c1c(NC[C@@H](O)c2cccc(Cl)c2)cc[nH]c1=O)N1CCOCC1
BMS-754807,417981,BMS-754807,BRD-K13049116,33.0,probe,pilot-set,IGF1R,inhibitor of insulin-like growth factor 1 receptor and insulin receptor,Active Biochem,A-1013,C[C@]1(CCCN1c1nc(Nc2cc(n[nH]2)C2CC2)c2cccn2n1)C(=O)Nc1ccc(F)nc1
BORTEZOMIB,411737,BORTEZOMIB,BRD-K88510285,0.13,FDA,CTEP;pilot-set;std-of-care,PSMB1;PSMB2;PSMB5;PSMD1;PSMD2,inhibitor of 26S proteasome,Toronto Research Chemicals;Selleck,B675700;S1013,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
BOSUTINIB,660346,BOSUTINIB,BRD-K90746395,66.0,FDA,kinome,ABL1;SRC,inhibitor of SRC and ABL1,Selleck,S1014,COc1cc(Nc2cc(nc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)C#N)c(Cl)cc1Cl
BRD-A02303741,659371,BRD-A02303741,BRD-A02303741,55.0,probe,chromatin;lit-search;synthesis,DOT1L,inhibitor of histone methyltransferases,Broad Institute of MIT and Harvard,,CC(C)N(CCCNC(=O)Nc1ccc(cc1)C(C)(C)C)C[C@H]1O[C@H](C(O)[C@H]1O)n1cnc2c(N)ncnc12
BRD-A02303741:CARBOPLATIN (1:1 MOL/MOL),660271,BRD-A02303741:CARBOPLATIN (1:1 MOL/MOL),BRD-M48845972,66.0,probe,combination,DOT1L,inhibitor of histone methyltransferases;inducer of DNA damage,,,O=C1O[Pt]OC(=O)C11CCC1.CC(C)N(CCCNC(=O)Nc1ccc(cc1)C(C)(C)C)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1ccc2c(N)ncnc12
BRD-A02303741:NAVITOCLAX (2:1 MOL/MOL),660268,BRD-A02303741:NAVITOCLAX (2:1 MOL/MOL),BRD-M76874421,50.0,probe,combination,DOT1L;BCL2;BCL2L1;BCL2L2,"inhibitor of histone methyltransferases;inhibitor of BCL2, BCL-xL, and BCL-W",,,CC(C)N(CCCNC(=O)Nc1ccc(cc1)C(C)(C)C)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1ccc2c(N)ncnc12.CC1(C)CCC(=C(CN2CCN(CC2)c2ccc(cc2)C(=O)NS(=O)(=O)c2ccc(N[C@H](CCN3CCOCC3)CSc3ccccc3)c(c2)S(=O)(=O)C(F)(F)F)C1)c1ccc(Cl)cc1
BRD-A05715709,660342,BRD-A05715709,BRD-A05715709,66.0,probe,outreach,IDH1,putative inhibitor of IDH1 R132H,Broad Institute of MIT and Harvard,,Cc1ccccc1C(N(C(=O)Cc1ccncc1)c1cccc(F)c1)C(=O)NC1CCCCC1
BRD-A71883111,660145,BRD-A71883111,BRD-A71883111,33.0,probe,lit-search,IDH1,putative inhibitor of IDH1 R132H,Broad Institute of MIT and Harvard,,Fc1cccc(c1)N(C(C(=O)NC1CCCCC1)c1ccccc1Cl)C(=O)Cc1cccs1
BRD-A86708339,687769,BRD-A86708339,BRD-A86708339,66.0,probe,outreach,,screening hit,Dana Farber Cancer Institute,,Cc1ccc(cc1)C(NC(=O)c1ccccc1)c1ccc2cccnc2c1O
BRD-A94377914,61724,BRD-A94377914,BRD-A94377914,33.0,probe,chromatin;outreach,HDAC1;HDAC2;HDAC3;HDAC6;HDAC8,"inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8",Stanley Center for Psychiatric Research at the Broad Institute,,CN1CCCCC1NC(=O)[C@H](CCCCCC(C)=O)C(=O)Nc1nc(cs1)-c1ccccc1
BRD-K01737880,438345,BRD-K01737880,BRD-K01737880,66.0,probe,outreach,,screening hit,Broad Institute of MIT and Harvard,,COc1ccc(NC(=O)Nc2ccc3O[C@@H](CN(C)Cc4ccc5OCOc5c4)[C@@H](C)CN([C@@H](C)CO)C(=O)c3c2)cc1
BRD-K02251932,442141,BRD-K02251932,BRD-K02251932,66.0,GE-active,DOS;profiling,,product of diversity oriented synthesis,Broad Institute of MIT and Harvard,,C[C@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)NC2CCCCC2)Oc2c(NS(=O)(=O)c3ccc(F)cc3)cccc2C1=O
BRD-K02492147,415688,BRD-K02492147,BRD-K02492147,66.0,GE-active,DOS;profiling,,product of diversity oriented synthesis,Broad Institute of MIT and Harvard,,CN1CCN(CC1)C(=O)C[C@@H]1O[C@H](CO)[C@@H](NS(=O)(=O)c2cccc(F)c2)C=C1
BRD-K03536150,686134,BRD-K03536150,BRD-K03536150,270.0,probe,outreach,BAX,activator of BAX,Dana Farber Cancer Institute;Dana Farber Cancer Institute,DFCI-LW14,CC1=NN(C(=O)C\1=N\Nc1ccccc1C(O)=O)c1nc(cs1)-c1ccccc1
BRD-K03911514,660424,BRD-K03911514,BRD-K03911514,66.0,probe,outreach,,stapled helical peptide,Dana Farber Cancer Institute,,CCCC[C@H](NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H](NC(=O)[C@]1(C)CCC\C=C/CCC[C@](C)(NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CO)NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CO)NC(=O)[C@H](CC(C)C)NC(C)=O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1)[C@@H](C)CC)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1ccccc1)C(N)=O
BRD-K04800985,435086,BRD-K04800985,BRD-K04800985,67.0,GE-active,DOS;profiling,,product of diversity oriented synthesis,Broad Institute of MIT and Harvard,,C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)CC2CCCCC2)Oc2ccc(NC(=O)Nc3c(C)noc3C)cc2C1=O
BRD-K07442505,660229,BRD-K07442505,BRD-K07442505,66.0,probe,outreach,BAX,stapled helical peptide activating BAX,Dana Farber Cancer Institute;Dana Farber Cancer Institute,DFCI-LW13,CCOc1ccccc1N\N=C1C(=O)N(N=C\1C)c1nc(cs1)-c1ccccc1
BRD-K09344309,439882,BRD-K09344309,BRD-K09344309,33.0,probe,DOS;outreach,,screening hit,Broad Institute of MIT and Harvard,,C[C@H](CO)N1C[C@@H](C)[C@H](CN(C)Cc2ccc3OCOc3c2)Oc2c(NC(=O)c3ccncc3)cccc2C1=O
BRD-K09587429,416842,BRD-K09587429,BRD-K09587429,66.0,GE-active,DOS;profiling,,product of diversity oriented synthesis,Broad Institute of MIT and Harvard,,C[C@@H](NC(=O)C[C@@H]1CC[C@@H](NC(=O)CN2CCOCC2)[C@H](CO)O1)c1ccccc1
BRD-K11533227,389297,BRD-K11533227,BRD-K11533227,66.0,probe,chromatin;outreach,HDAC1;HDAC2,inhibitor of HDAC1 and HDAC2,Stanley Center for Psychiatric Research at the Broad Institute,,CC(=O)NC1CCN(CC1)C(=O)Nc1cc(ccc1N)-c1cccs1
BRD-K13185470,660839,BRD-K13185470,BRD-K13185470,66.0,probe,outreach,MCL1,stapled helical peptide targeting MCL1,Dana Farber Cancer Institute,,CC(C)C[C@H](NC(=O)[C@H](C)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCNC(N)=N)NC(C)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC(O)=O)C(=O)NCC(=O)N[C@@H](C(C)C)C(=O)N[C@@]1(C)CCC\C=C/CCC[C@](C)(NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCCNC(N)=N)NC1=O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)C(N)=O
BRD-K13999467,410270,BRD-K13999467,BRD-K13999467,67.0,GE-active,DOS;profiling,,product of diversity oriented synthesis,Broad Institute of MIT and Harvard,,C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)Cc2ccncc2)Oc2cc(ccc2S1(=O)=O)C#Cc1ccccc1F
BRD-K14844214,402775,BRD-K14844214,BRD-K14844214,66.0,GE-active,DOS;profiling,,product of diversity oriented synthesis,Broad Institute of MIT and Harvard,,CC(C)CC#Cc1ccc2c(O[C@@H](CN(C)C(=O)c3cnccn3)[C@H](C)CN([C@H](C)CO)S2(=O)=O)c1
BRD-K16130065,660425,BRD-K16130065,BRD-K16130065,66.0,probe,outreach,,stapled helical peptide,Dana Farber Cancer Institute,,CC[C@H](C)[C@H](NC(C)=O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@]1(C)CCC\C=C/CCC[C@](C)(NC(=O)[C@H](CC(O)=O)NC(=O)CNC(=O)[C@@H](NC1=O)[C@@H](C)CC)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCNC(N)=N)C(N)=O
BRD-K16147474,447732,BRD-K16147474,BRD-K16147474,66.0,GE-active,DOS;profiling,,product of diversity oriented synthesis,Broad Institute of MIT and Harvard,,CC(C)NC(=O)Nc1ccc2O[C@@H](CN(C)S(C)(=O)=O)[C@@H](C)CN([C@H](C)CO)C(=O)Cc2c1
