Plant Name,Group Match + Probabilities,Group Match + Probabilities -- updated algo,Driver 1,Driver 2,Notes/Fuel Blend,Source 1,Source 2,Source 3,Coal Retirement Date,Match?,Match Level and Explanation
Crawfordsville Power Plant,{6: 1.0},"{4: '38.4%', 0: '20.8%', 6: '14.2%', 2: '11.4%', 3: '11.0%', 7: '1.8%', 1: '1.2%', 5: '1.2%'}",Aging infrastructure,,,https://www.ucs.org/sites/default/files/2019-09/Ripe-for-Retirement-Full-Report.pdf,,,2022,Partial Match,"Plant's retirement is due to aging infrastructure. While Group 6 includes 'aging coal plants no longer cost-competitive' as a secondary driver, the primary drivers are political opposition and broader economic difficulties, which are not explicitly stated for the plant. Aging can contribute, but isn't the core of Group 6."
C D McIntosh Jr,"{0: 0.98, 1: 0.02}","{0: '87.0%', 1: '13.0%'}",Aging infrastructure -- Increasing costs of operation,,Fuel Blend (Natural Gas),https://ieefa.org/wp-content/uploads/2015/10/The-Time-is-Right-to-Retire-McIntosh-Unit-3_IEEFA_Oct-2015.pdf,https://www.gem.wiki/C.D._McIntosh_power_station,,2021,Close Match,Plant's aging infrastructure and increasing operational costs align well with one of Group 0's primary drivers. The fuel blend note is also consistent. Lacks explicit mention of regulatory non-compliance for a perfect match.
Lansing,"{2: 0.095, 5: 0.07, 4: 0.835}","{2: '60.0%', 5: '40.0%'}",Utility's clean energy transition plan,Retirement of coal plants to reduce emissions,,https://www.publicpower.org/periodical/article/lansing-board-water-light-retires-last-coal-fired-plant,https://www.wlns.com/news/bwl-agrees-to-retire-erickson-coal-plant-by-2025/,https://www.lansingstatejournal.com/story/news/local/2020/11/25/bwl-retires-eckert-power-plant-lansing/6406016002/,2023,Close Match,"Plant's retirement due to utility's clean energy transition plan and emissions reduction aligns well with Group 4's secondary drivers. While not explicitly stating 'high operating costs' as the primary reason, these transition plans often target such plants."
R Gallagher,"{2: 0.085, 4: 0.915}","{2: '99.4%', 6: '0.4%', 4: '0.2%'}",Economic Deciscion,,,https://www.wfyi.org/news/articles/duke-energy-to-retire-gallagher-coal-plant-early,,,2021,Close Match,"Plant's retirement due to an 'Economic Decision' strongly suggests alignment with Group 4's core theme of high costs, making it expensive to operate. Lacks specific details for a perfect match."
Elmer Smith,"{4: 0.95, 5: 0.05}","{4: '39.2%', 0: '32.6%', 3: '9.6%', 6: '6.2%', 2: '5.4%', 5: '4.6%', 1: '1.2%', 7: '1.2%'}","""decision to retire Unit 1 is purely economical.""","""faltering economics of Elmer Smith. tens of millions of dollars of new investments will be needed to keep the plant running retail rates will increase by 20 percent by 2018 and 80 percent by 2025 if both units at Elmer Smith are not retired.""",,https://www.power-eng.com/environmental-emissions/coal-fired-unit-at-kentucky-s-elmer-smith-power-plant-set-to-retire-in-coming-years/,https://ieefa.org/resources/ieefa-kentucky-owensboro-coal-fired-power-plant-no-longer-viable,,2020,Perfect Match,The explicit statements that the retirement is 'purely economical' and due to 'faltering economics' perfectly match Group 4's primary driver of high operating costs.
Morgantown Generating Plant,{0: 1.0},{5: '100.0%'},Aging Infrastructure & Regulatory Non-Compliance,Coal Ash Pond Violation,,https://www.genon.com/genon-news/genon-holdings-inc-announces-retirement-of-chalk-point-coal-units,https://marylandmatters.org/2021/06/14/md-coal-fired-power-plant-will-retire-five-years-early-before-worker-retraining-kicks-in/,,2022,Perfect Match,"Plant drivers of aging infrastructure, regulatory non-compliance, and coal ash pond violation are a perfect match for Group 0's primary and secondary drivers."
Paradise,{4: 1.0},"{3: '55.8%', 0: '18.0%', 4: '15.2%', 2: '5.4%', 6: '2.8%', 7: '1.2%', 5: '1.2%', 1: '0.4%'}",Environmental regulations and economic factors,Retirement of coal units to reduce emissions,,https://en.wikipedia.org/wiki/Paradise_Fossil_Plant,https://www.reuters.com/article/us-usa-tva-coal-idUSKCN1Q32J1,https://www.reuters.com/article/us-usa-tva-coal-idUSKCN1Q32J1,2020,Perfect Match,"Plant's retirement due to environmental regulations, economic factors, and emissions reduction aligns perfectly with Group 4's primary (high operating/retrofit costs due to regulations) and secondary drivers (utility/state targets)."
Dan E Karn,{0: 1.0},"{6: '65.4%', 4: '19.2%', 0: '7.6%', 2: '3.8%', 3: '2.6%', 5: '0.6%', 1: '0.4%', 7: '0.4%'}",Aging Infrastructure (60+),Renewable Targets by 2040 + agreement with Michigan State,Fuel Blend (Natural Gas),,,,2023,Close Match,Plant's aging infrastructure and alignment with renewable targets match Group 0's primary driver of aging and secondary drivers related to clean energy transitions. The fuel blend note is consistent. Lacks explicit mention of regulatory non-compliance for a perfect match.
St Clair,{2: 1.0},"{6: '62.6%', 4: '18.6%', 2: '6.4%', 0: '5.4%', 3: '3.4%', 5: '1.8%', 1: '1.0%', 7: '0.8%'}",Economics + failure to meet federal air quality standards,State-driven climate goals + renewable mandates,also a utility carbon reduction target,https://www.gem.wiki/St._Clair_Power_Planthttps://empoweringmichigan.com/wp-content/uploads/2019/03/IRP_Summary.pdf,,,2022,Perfect Match,"Plant's retirement due to failure to meet air quality standards (regulatory pressure), state climate goals, and renewable mandates directly aligns with Group 2's primary and secondary drivers."
Chalk Point LLC,{0: 1.0},"{0: '97.6%', 4: '1.6%', 3: '0.6%', 6: '0.2%'}",Aging Infrastructure & Regulatory Non-Compliance,Water pollution violations,,https://www.genon.com/genon-news/genon-holdings-inc-announces-retirement-of-chalk-point-coal-units,https://news.maryland.gov/mde/2016/08/29/power-company-to-pay-1-million-penalty-perform-1-million-in-environmental-projects-upgrade-water-pollution-prevention-technology/,,2021,Perfect Match,Plant's aging infrastructure and regulatory non-compliance (evidenced by water pollution violations) perfectly match Group 0's primary drivers.
Trenton Channel,{0: 1.0},"{0: '92.0%', 4: '4.6%', 6: '2.0%', 2: '1.0%', 3: '0.4%'}",Utility Net Zero,General Anti-Coal Sentiment,,https://ir.dteenergy.com/news/press-release-details/2019/Net-Zero-Carbon-emissions-goal-announced-by-DTE-Energy-Electric-Company/default.aspx,https://www.triplepundit.com/story/2017/big-energy-company-helping-small-business-kick-coal-habit/17096,,2022,Partial Match,"Plant's 'Utility Net Zero' goal aligns with Group 0 secondary drivers. However, the primary Group 0 drivers (Aging Infrastructure & Regulatory Non-Compliance) are not directly stated for the plant, making it a partial match."
Dickerson,"{2: 0.905, 0: 0.095}","{0: '99.2%', 2: '0.4%', 3: '0.2%', 5: '0.2%'}",high compliance costs,,,https://www.baltimoresun.com/2018/08/14/maryland-requires-three-coal-power-plants-to-limit-arsenic-mercury-water-pollution-starting-in-2020/,,,2020,Close Match,"Plant's 'high compliance costs' strongly suggest retirement due to regulatory pressure making it uneconomic, aligning well with Group 2's primary theme of political/regulatory pressure and its secondary driver of becoming uneconomic due to standards."
Meramec,"{6: 0.13, 4: 0.78, 2: 0.09}","{6: '57.6%', 2: '42.4%'}",Environmental regulations and economic factors,Retirement of coal units to reduce emissions,,https://www.gem.wiki/Meramec_Power_Plant,https://www.gem.wiki/Meramec_Power_Plant,https://www.gem.wiki/Meramec_Power_Plant,2022,Perfect Match,"Plant's retirement due to environmental regulations, economic factors, and emissions reduction aligns perfectly with Group 4's primary (high operating/retrofit costs due to regulations) and secondary drivers (utility/state targets)."
River Rouge,"{4: 0.96, 5: 0.04}",{5: '100.0%'},Utility's clean energy transition plan,Retirement of coal plants to reduce emissions,,https://ir.dteenergy.com/news/press-release-details/2021/DTE-Energy-Retires-Small-but-Mighty-River-Rouge-Power-Plant/default.aspx,https://www.gem.wiki/River_Rouge_Power_Plant,https://www.gem.wiki/River_Rouge_Power_Plant,2021,Close Match,"Plant's retirement due to utility's clean energy transition plan and emissions reduction aligns well with Group 4's secondary drivers. These transition plans often target expensive plants, fitting the Group 4 archetype."
San Juan,{0: 1.0},"{0: '69.0%', 4: '16.0%', 3: '4.6%', 6: '3.0%', 5: '2.8%', 2: '2.8%', 1: '1.0%', 7: '0.8%'}",Coal Ash Pond Violation,Environmental justice concerns in disadvantaged communities,,https://www.santafenewmexican.com/news/local_news/new-epa-rule-compels-san-juan-four-corners-coal-plants-to-clean-up-ash-waste/article_7ed1b8e4-0657-11ef-8260-73fa8eaf849a.html,https://www.sanjuancitizens.org/press-release/the-end-of-an-era-whats-next-for-the-energy-transition-in-northern-new-mexico,,2022,Close Match,Plant's coal ash pond violation (regulatory non-compliance) and environmental justice concerns align very well with Group 0's primary and secondary drivers. Lacks explicit 'aging infrastructure' for a perfect score.
J B Sims,{2: 1.0},"{6: '60.6%', 4: '22.6%', 0: '8.0%', 2: '3.2%', 3: '2.8%', 5: '1.8%', 7: '0.8%', 1: '0.2%'}","age, high operating costs, GHG reductions",Needed expensive upgrades,,https://www.hollandsentinel.com/story/news/politics/county/2020/02/15/sims-generating-station-in-grand/1701759007/,https://www.mlive.com/sports/muskegon/2020/02/grand-havens-coal-burning-sims-power-plant-shutting-for-good.html,,2022,Weak Match,"Plant's driver is aging infrastructure and economic invibility. Group 2's primary focus is political/regulatory pressure. However, while this plant was not specifically retired for environmental reasons, it is in Michigan and its retirement furthered GHG reduction goals and helps to meet RPS standards. Therefore, it is a weak match but still meets Group 2's driver of: strong state-level emissions or cleanenergy mandates"
Dunkirk Generating Plant,{0: 1.0},"{0: '92.6%', 4: '5.2%', 3: '1.4%', 6: '0.4%', 2: '0.2%', 7: '0.2%'}",Aging infrastructure -- Increasing costs of operation,Attempted NG conversion -- too costly,,https://www.powermag.com/nrg-ends-effort-to-repower-dunkirk-plant/,https://www.powermag.com/nrg-ends-effort-to-repower-dunkirk-plant/,,2021,Close Match,Plant's aging infrastructure and increasing operational costs align with a primary driver of Group 0. The attempted (but costly) NG conversion is also thematically relevant to 'Fuel Blend Plants'. Lacks explicit regulatory non-compliance.
Eckert Station,{3: 1.0},"{4: '31.4%', 3: '22.2%', 0: '18.8%', 6: '14.2%', 2: '6.4%', 5: '3.4%', 1: '1.8%', 7: '1.8%'}",Utility's clean energy transition plan,Retirement of coal plants to reduce emissions,,https://www.publicpower.org/periodical/article/lansing-board-water-light-retires-last-coal-fired-plant,https://www.wlns.com/news/bwl-agrees-to-retire-erickson-coal-plant-by-2025/,https://www.lansingstatejournal.com/story/news/local/2020/11/25/bwl-retires-eckert-power-plant-lansing/6406016002/,2020,Partial Match,"Plant's retirement is due to a utility's clean energy transition and emissions reduction. Group 3's core is public health concerns and environmental regulations. While emissions reduction benefits health, the plant's stated drivers don't specifically highlight existing high health impacts or direct regulatory pressure due to health as the *primary* cause."
R M Heskett,{6: 1.0},{6: '100.0%'},Aging infrastructure and economic factors,High maintenance costs and low efficiency,,https://www.gem.wiki/R._M._Heskett_Station,https://www.gem.wiki/R._M._Heskett_Station,https://www.gem.wiki/R._M._Heskett_Station,2021,Close Match,"Plant's aging infrastructure, economic factors, and high maintenance costs align well with Group 6's 'Economic Difficulties' primary driver and its 'aging plants no longer cost-competitive' secondary driver. Lacks explicit mention of 'political opposition.'"
Hoot Lake,"{4: 0.97, 5: 0.03}",{5: '100.0%'},aging infrastructure (100 years!),,,https://www.twincities.com/2012/10/03/otter-tail-power-wants-to-delay-retirement-of-coal-fired-hoot-lake-plant/,,,2021,Close Match,"The plant's extreme age (100 years) strongly implies it would face high operating costs and significant retrofit requirements to continue, aligning it closely with the 'Expensive Plants' archetype of Group 4."
Asbury,{3: 1.0},"{4: '39.4%', 3: '18.4%', 6: '14.6%', 0: '13.2%', 2: '6.6%', 5: '6.0%', 7: '1.2%', 1: '0.6%'}",High operating costs,High retrofit costs required,,https://www.gem.wiki/Asbury_Generating_Station,https://central.libertyutilities.com/all/residential/sustainability/projects/asbury-power-plant-serving-our-customers-and-communities-for-50-years.html,,2020,Partial Match,"Plant's high operating and retrofit costs could align with Group 3 if these costs are driven by environmental regulations related to health impacts. It matches the 'economic difficulties due to compliance' secondary driver, but lacks explicit mention of primary health concerns or health-driven regulations."
Avon Lake,{4: 1.0},"{6: '67.0%', 4: '23.2%', 0: '2.8%', 3: '2.6%', 2: '2.6%', 5: '1.4%', 7: '0.4%'}","economic: ""Over the past few years, the plant’s capacity factor diminished as the economic realities of the decline in coal played out.""",,,https://www.sierraclub.org/press-releases/2021/06/genon-retires-final-coal-burning-unit-avon-lake-ohio-s-clean-energy,,,2022,Perfect Match,"The explicit statement about economic reasons ('Over the past few years, the plant’...') directly matches Group 4's primary driver of high operating costs making the plant expensive."
Asheville,"{5: 0.05, 0: 0.925, 1: 0.025}","{5: '64.6%', 1: '24.2%', 0: '10.8%', 4: '0.4%'}",Economic In-viability,Coal Ash Violations - not mentioned directly as a driver,Fuel Blend (Natural Gas),https://news.duke-energy.com/releases/duke-energy-unveils-1-1-billion-plan-to-end-coal-era-in-asheville-n-c,https://www.bpr.org/news/2018-03-27/groundwater-radiation-at-duke-energy-coal-plants-raises-concerns,https://www.gem.wiki/Asheville_Plant,2020,Close Match,"Plant's 'Economic In-viability' is the driver. Group 0's primary drivers are Aging Infrastructure & Regulatory Non-Compliance. That said, although not an explicit driver, the plant had coal ash problems and radiated ground water. This plant gets a Close Match due to these coal ash violations and being a fuel-blend plant, but not a perfect match due the mismatch in primary drivers."
W H Sammis,{4: 1.0},"{4: '62.6%', 0: '14.8%', 3: '8.4%', 6: '5.8%', 2: '5.2%', 5: '2.8%', 7: '0.4%'}",Utility-driven clean energy transitions,,,https://www.theintelligencer.net/news/community/2025/04/demolition-crews-implode-smokestacks-at-former-sammis-plant/,,,2023,Close Match,"Plant's retirement due to 'Utility-driven clean energy transitions' aligns well with Group 4's secondary drivers, as such transitions often prioritize retiring expensive coal plants."
Conesville,"{2: 0.995, 0: 0.005}","{0: '98.0%', 2: '1.6%', 3: '0.2%', 4: '0.2%'}",Aging Infrastructure & Regulatory Non-Compliance,Economic In-viability,,https://www.gem.wiki/Conesville_Power_Planthttps://www.coshoctontribune.com/story/news/local/2018/10/05/aep-conesville-plant-close-may-2020/1536021002/,,,2020,Close Match,"Plant's 'Regulatory Non-Compliance' aligns with Group 2's 'Regulatory Pressure,' and 'Economic In-viability' matches a secondary outcome. Aging can contribute. The focus on regulatory issues leading to closure fits Group 2 well."
Bull Run,"{3: 0.965, 1: 0.035}",{1: '100.0%'},Environmental regulations and economic factors,Retirement of coal units to reduce emissions,,https://en.wikipedia.org/wiki/Bull_Run_Fossil_Plant,https://www.tva.com/energy/our-power-system/coal/bull-run-fossil-plant,https://www.tva.com/energy/our-power-system/coal/bull-run-fossil-plant,2023,Perfect Match,"Plant's retirement due to 'Environmental regulations and economic factors,' and to 'reduce emissions,' aligns perfectly with Group 3's primary driver of environmental regulations (often linked to health) and its secondary driver of economic difficulties from compliance."
Genoa,{5: 1.0},{5: '100.0%'},"Fuel shortages, low plant capacity","According to Dairyland, it is cheaper to buy power from the local grid than to run the power plant.",,https://krocnews.com/dairyland-power-is-shutting-down-genoa-power-plant/?utm_source=tsmclip&utm_medium=referral,https://www.gem.wiki/Genoa_Station,,2021,No Match,"Plant retired at 52, so not a 'young plant'. Although costs were a factor, it is not specifically stated that this is 'renewable cost competition'"
Chesterfield Power Station,{0: 1.0},"{0: '78.6%', 4: '9.2%', 2: '5.6%', 3: '2.6%', 6: '1.8%', 5: '1.4%', 7: '0.4%', 1: '0.4%'}",Aging Infrastructure,State net-zero targets + Coal Ash Expenses,Planned gas plant conversion,https://www.utilitydive.com/news/dominion-makes-final-decision-to-close-10-coal-and-gas-fired-units-in-virgi/551327/,https://www.dominionenergy.com/projects-and-facilities/electric-projects/coal-ash/chesterfield-power-station-coal-ash-project/,https://www.cleanvirginia.org/chesterfield/,2023,Perfect Match,"Plant's aging infrastructure, state net-zero targets, and coal ash expenses directly match Group 0's primary and secondary drivers. The planned gas conversion also aligns."
Somerset Operating Co LLC,{0: 1.0},"{0: '85.2%', 4: '10.6%', 3: '1.4%', 2: '1.2%', 6: '1.2%', 5: '0.2%', 7: '0.2%'}",Aging infrastructure and economic factors,High maintenance costs and low efficiency,,https://www.gem.wiki/Somerset_Power_Plant,https://www.gem.wiki/Somerset_Power_Plant,https://www.gem.wiki/Somerset_Power_Plant,2020,Close Match,Plant's aging infrastructure and associated economic factors/high maintenance costs align well with the 'Aging Infrastructure' aspect of Group 0's primary drivers. Lacks the explicit 'Regulatory Non-Compliance' component.
Pleasants Power Station,{4: 1.0},"{4: '38.4%', 0: '18.8%', 3: '14.0%', 2: '9.8%', 5: '8.2%', 6: '7.8%', 7: '1.8%', 1: '1.2%'}","high operating costs, and the changing energy landscape",,,https://ieefa.org/resources/west-virginia-effort-save-pleasants-coal-plant-collides-economic-reality,,,2023,Close Match,"The retirement driver is a near-percect match to Group 4's drivers of High operational costs and economic pressures. However, this plant gets a Close Match and not a Perfect one as it is in WV and the profitability is not directly linked to renewable competition."
Lewis & Clark,"{4: 0.96, 5: 0.04}",{5: '100.0%'},"economic: ""Low-cost power available on the market, due to low-cost natural gas and increasing wind resources, as well as rising costs to operate the coal-fired facilities, led to the decision to retire Lewis & Clark Station""",,,https://www.montana-dakota.com/rates-services/electric-generation/generation-retirement-plans/,,,2022,Perfect Match,"The economic reason 'Low-cost power available on the market' clearly implies the plant is comparatively expensive, aligning perfectly with Group 4's primary driver of high operating costs."
W H Zimmer,{3: 1.0},"{4: '39.2%', 3: '17.4%', 0: '16.2%', 6: '11.4%', 2: '7.4%', 5: '5.2%', 7: '1.8%', 1: '1.4%'}",Market dynamics and economic factors,Retirement of coal units to reduce emissions,,https://en.wikipedia.org/wiki/William_H._Zimmer_Power_Station,https://www.spglobal.com/marketintelligence/en/news-insights/latest-news-headlines/vistra-to-retire-1-3-gw-zimmer-coal-plant-in-ohio-five-years-early-603697,https://www.spglobal.com/marketintelligence/en/news-insights/latest-news-headlines/vistra-to-retire-1-3-gw-zimmer-coal-plant-in-ohio-five-years-early-603697,2022,Partial Match,"Plant's drivers are market dynamics, economic factors, and emissions reduction. Group 3 focuses on public health and environmental regulations. While emissions reduction is relevant, and economics can be a secondary factor, the stated primary drivers don't highlight specific health impacts or regulatory pressure due to health as the core reason."
Boardman,{2: 1.0},"{6: '40.0%', 4: '28.4%', 0: '10.8%', 3: '8.0%', 2: '7.8%', 5: '2.8%', 7: '1.2%', 1: '1.0%'}","environmental regulations: ""calls for PGE to invest more than a half billion dollars in pollution controls at the plant by 2017 to comply with federal and state clean air regulations, then keep it running until 2040. Instead, the company hopes regulators will allow it to make a $45 million investment next year to partially clean up its emissions of mercury and oxides of nitrogen, then operate the plant only until 2020.""",,,https://www.oregonlive.com/business/2010/01/pge_moves_to_close_boardman_co.html,,,2020,Perfect Match,The explicit driver of 'environmental regulations' directly matches Group 2's primary driver of Political & Regulatory Pressure for Clean Energy Transitions.
Wansley,{0: 1.0},"{0: '99.6%', 4: '0.4%'}",Utility-driven retirement,,"Yes, CCGT and oil on separate units",https://www.publicnewsservice.org/2022-09-30/energy-policy/following-national-trend-another-ga-coal-fired-power-plant-retires/a80832-1,,https://www.gem.wiki/Wansley_Plant,2022,Close Match,Plant's 'aging infrastructure' and associated economic issues align well with one of Group 0's primary drivers. Lacks explicit mention of regulatory non-compliance. The note on other fuel units is tangentially related to 'fuel blend'.
Indiantown Cogeneration LP,"{0: 0.975, 1: 0.025}",{1: '100.0%'},Aging infrastructure and economic factors,High maintenance costs and low efficiency,,https://www.gem.wiki/Indiantown_Cogeneration_Plant,https://www.gem.wiki/Indiantown_Cogeneration_Plant,https://www.gem.wiki/Indiantown_Cogeneration_Plant,2020,Close Match,Plant's aging infrastructure and associated economic factors/high maintenance costs align well with the 'Aging Infrastructure' aspect of Group 0's primary drivers. Lacks the explicit 'Regulatory Non-Compliance' component.
A B Brown Generating Station,{4: 1.0},"{4: '77.4%', 0: '7.4%', 6: '4.4%', 3: '3.6%', 5: '3.2%', 2: '2.4%', 7: '1.2%', 1: '0.4%'}",Environmental regulations and economic factors,Retirement of coal units to reduce emissions,,https://www.gem.wiki/A._B._Brown_Generating_Station,https://www.gem.wiki/A._B._Brown_Generating_Station,https://www.gem.wiki/A._B._Brown_Generating_Station,2023,Perfect Match,"Plant's retirement due to environmental regulations, economic factors, and emissions reduction aligns perfectly with Group 4's primary (high operating/retrofit costs due to regulations) and secondary drivers (utility/state targets)."
R D Green,"{5: 0.035, 0: 0.965}",{5: '100.0%'},Coal Ash Pond Violation,Natural Gas Conversion,,https://www.lpm.org/news/2021-07-01/another-ky-coal-plant-to-retire-but-the-pollution-remains,https://www.lpm.org/news/2021-07-01/another-ky-coal-plant-to-retire-but-the-pollution-remains,,2022,Perfect Match,Plant's stated drivers of Coal Ash violations and a natural gas conversion are a perfect match for Group 0's primary drivers.
Birchwood Power,{0: 1.0},"{4: '30.2%', 0: '26.4%', 2: '19.2%', 3: '12.2%', 6: '5.6%', 5: '4.0%', 1: '1.2%', 7: '1.2%'}","noneconomic - ""inability to compete with lower-cost electricity produced by natural gas and renewable energy....the modern pollution controls on the plant weren't enough to overcome the relatively high cost of running a coal plant in 2020""",,no,https://patch.com/virginia/fredericksburg/king-george-coal-fired-power-plant-close-2021-report,,,2021,Weak Match,"Plant's driver is 'inability to compete' (economic). Group 0's primary drivers are Aging Infrastructure & Regulatory Non-Compliance. While economic factors can be related, they are not the stated primary drivers for this group archetype, making it a weak match."
H W Pirkey Power Plant,"{4: 0.965, 5: 0.035}",{5: '100.0%'},"""comply with new environmental regulations""",,,https://www.news-journal.com/news/business/local/retired-pirkey-power-plant-in-hallsville-demolished/article_8a54d71a-8734-11ef-bac8-4f90c9320e25.html,,,2023,Perfect Match,"Retiring to 'comply with new environmental regulations' directly implies that the cost of compliance (retrofits or ongoing) makes the plant expensive, aligning perfectly with Group 4's primary driver concerning environmental retrofit/compliance costs."
Chalk Point Steam,{4: 1.0},"{4: '62.0%', 3: '16.6%', 0: '8.4%', 6: '3.8%', 2: '3.2%', 5: '3.2%', 7: '2.2%', 1: '0.6%'}","uneconomic and regulations - ""unfavorable economic conditions and increased costs associated with environmental compliance",,"Yes, CCGT and oil on separate units",https://marylandmatters.org/2020/08/14/two-coal-plants-in-prince-georges-county-will-shut-down-by-next-year/,,,2021,Perfect Match,Plant's retirement due to being 'uneconomic and regulations' with 'unfavorable economics' is a perfect match for Group 4's primary drivers of high operating costs and environmental retrofit/compliance requirements.
