Utility's carbon emissions target,high costs,"""refinance costs associated with some of its coal units"" through the New ERA program",Emissions or clean energy target - utility or independent power producer,Uneconomic - compared with any alternatives,"https://www.sierraclub.org/press-releases/2023/12/proposed-early-retirement-tri-state-s-coal-units-win-public-health-and

https://www.tep.com/coal-community-transition/"
Utility wanting to reduce carbon emissions,,,Emissions or clean energy target - utility or independent power producer,,https://www.reviewjournal.com/business/energy/nv-energy-wants-1-8b-to-replace-nevadas-last-coal-plant-2874537/
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
