ORISPL,Plant Name,Retirement Date,UTLSRVID,ret_STATUS,Date of Last Unit or Planned Retirement,Total Nameplate Capacity (MW),Retiring Capacity,Average Capacity Factor,Generator Size Weighted Capacity Factor (%),Age,Generator Size Weighted Age,Summed Generator annual net generation (MWh),Age at Retirement,Percent Capacity Retiring,State,2022 SO2 Emissions (tons),2021 vs 2022 SO2 Emissions (%),2022 SO2 Emission Rate (lb/mmBtu),2022 NOX Emissions (tons),2022 NOX Emission Rate (lb/mmBtu),2022 CO2 Emissions (tons),2021 vs 2022 CO2 Emissions (%),2022 CO2 Emission Rate (lb/mmBtu),2022 Hg Emissions (lbs),2022 Hg Emission Rate (lb/TBtu),Facility has one or more low-emitting EGUs (LEE) units that do not report hourly emissions,eGRID subregion name,eGRID subregion coal generation percent (resource mix),eGRID subregion gas generation percent (resource mix),eGRID subregion wind generation percent (resource mix),eGRID subregion solar generation percent (resource mix),"Hospital Admits, All Respiratory",Infant Mortality,"Hospital Admits, Cardiovascular (except heart attacks)",$ Work Loss Days,$ Mortality (low estimate),$ Asthma Exacerbation,total population (ACS2018),National percentile for Demographic Index,National percentile for People of Color Population,National percentile for Low Income Population,National percentile for Population with Less Than High School Education,PM 2.5 Emssions (tons),PM 2.5 Emission Rate (lb/MWh),Mapped Fuel Type,coal_FUELS,Number of Coal Generators,NONcoal_FUELS,Total Cost of Emissions Control Equiptment Retrofits Installed since 2012 ($),Plant Coal Percentage (%),2020 Net Cashflow,Average Cashflow,Forward Costs,Coal Debt Securitization Policy,State coal generation percent (resource mix),State gas generation percent (resource mix),LAT,LON,Governor Party,Legislation Majority Party,Estimated percentage who somewhat/strongly oppose setting strict limits on existing coal-fire power plants,Change from 2018 to 2021 in trhe estimated percentage who somewhat/strongly oppose setting strict limits on existing coal-fire power plants,Average PM Results (lb/mmBtu),FIPS,Cheapest Renewable Resource,Difference between cheapest renewables and coal ($/MWh),Renewables or Coal,Percent difference,Sector,Utility Name,Ownership Type,Final Target Summary,Attainment Year,Interim Target(s) Summary,Mandatory or Voluntary Target,Target Scope
298,Limestone,2029.0,54888,2,2029.0,1849.8,1849.8,0.351,0.352310628176019,37.5,37,5702129.0,44.0,1.0,TX,6337.013,0.241590188,0.157146104,7069.361,0.175306968,8453804.92,0.29290189,209.638595,65.7944948,0.815790381,,ERCOT All,0.176715825637824,0.465173142867919,0.21843418551505,0.0349705807483189,2.824,0.091,2.8803,322198.97,134904335.37,26243.12,152,45,40,58,77,362.3582,0.126781146,Coal,"['SUB', 'SUB']",2,0,8343000,0.994697572108325,-770316.0111414739,123190162.1831848,40.365343,None,0.184801255632154,0.482872080083905,31.4219,-96.2525,Republican,Republican,58.287,7.003,0.009866666666666666,48293,regional wind,27.005647,renewables,0.6690305344364348,IPP Non-CHP,NRG Texas Power LLC,,,,,,
470,Comanche (CO),2025.0,15466,2,2030.0,1252.8,1252.8,0.5860000000000001,0.5768045977011494,30.5,24,6332031.0,50.0,1.0,CO,2688.921,-0.2546248,0.083953239,3364.002,0.105030554,6642118.76,-0.2394983,207.379607,60.4096805,0.943052681,,WECC Rockies,0.396898764572694,0.229189200686658,0.249743268418941,0.0261045595434295,1.7209,0.0544,1.6934,212966.9,86439899.07,17047.1,7577,72,69,69,54,27.645,0.013323168,Coal,"['SUB', 'SUB', 'SUB']",3,0,0,0.970792437094183,33125790.24773669,88467950.06547295,24.68596,Passed,0.415290737280412,0.256187112275357,38.2081,-104.5747,Democrat,Democrat,36.753,7.678000000000001,0.005811594202898549,8101,local solar,10.079591,renewables,0.4083127008226539,Electric Utility,Public Service Co of Colorado,Investor Owned,,,,,
525,Hayden,2028.0,15466,2,2028.0,465.4,465.4,0.5885,0.6069415556510529,52.5,52,2474838.0,63.0,1.0,CO,1971.487,0.210834631,0.11950773,862.24,0.052267322,3385128.44,0.163871384,205.199941,,,Yes,WECC Rockies,0.396898764572694,0.229189200686658,0.249743268418941,0.0261045595434295,0.6082,0.0189,0.5939,76069.53,30475328.78,6021.99,156,22,22,40,28,18.17,0.017885487,Coal,"['BIT', 'BIT']",2,0,125581000,0.998903156090243,22956571.78429115,12406719.33254801,32.222094,Passed,0.415290737280412,0.256187112275357,40.4856,-107.185,Democrat,Democrat,32.296,-0.2289999999999992,,8107,local solar,14.68566,renewables,0.455763675694075,Electric Utility,Public Service Co of Colorado,Investor Owned,,,,,
564,Stanton Energy Center,2027.0,14610,2,2027.0,929.0,929.0,0.562,0.562,31.5,32,4573755.0,40.0,1.0,FL,1476.594,-0.4547986,0.066926843,4204.276,0.190559437,4143686.14,-0.1488618,187.813193,21.0124998,0.476197346,,FRCC All,0.0774167343872345,0.735206632639374,0.0,0.0364281756334415,3.8782,0.0651,3.707,264155.39,116361509.74,18867.13,20722,51,64,26,67,476.813425,0.164733632,Coal,"['BIT', 'BIT']",2,"['NG', 'NG']",7240000,0.672555667813166,-21655751.73950019,-1053130.60211003,40.227125,None,0.074678734025661,0.740780814427665,28.4822,-81.1678,Republican,Republican,29.657,5.731999999999999,0.01785,12095,local solar,22.644499,renewables,0.56291616664129,Electric Utility,Orlando Utilities Comm,Municipal,Net-zero carbon emissions by 2050,2050.0,50% reduction in CO2 emissions by 2030; 75% reduction in CO2 emissions by 2040,Voluntary,Does not utilize the GHG Protocol Corporate Standard to define the scope of its Carbon-Reduction Target
594,Indian River Generating Station,2026.0,9332,2,2026.0,445.5,445.5,0.073,0.073,43.0,43,284499.0,46.0,1.0,DE,388.194,-0.3904333,0.469248752,80.718,0.097571886,169755.446,-0.5598288,205.200315,0.748911342,0.452641865,,RFC East,0.103191425055088,0.486994729476926,0.00994321759324901,0.00786261471566719,0.2427,0.0055,0.2513,26761.5,11525353.13,1947.48,9048,52,49,58,68,10.4166002,0.196582281,Coal,['BIT'],1,['DFO'],336565000,0.970946177327111,1656559.810207625,15030700.9469996,89.943394,None,0.0642790408457267,0.867385271882867,38.5857,-75.2341,Democrat,Democrat,34.792,3.187000000000001,,10005,local solar,62.920672,renewables,0.6995585690262033,IPP Non-CHP,Indian River Operations Inc,,,,,,
602,Brandon Shores,2025.0,60421,2,2025.0,1370.2,1370.2,0.206,0.206,35.5,36,2470805.0,41.0,1.0,MD,1045.097,-0.2924018,0.088396937,1063.311,0.089937523,2426032.54,-0.1478168,205.199943,11.4078162,0.482450914,,RFC East,0.103191425055088,0.486994729476926,0.00994321759324901,0.00786261471566719,1.3345,0.0319,1.3593,145279.57,63432401.33,10630.14,33966,27,43,22,53,8.359084,0.017578606,Coal,"['BIT', 'BIT']",2,0,0,0.986325758919679,-10016132.63215588,57427002.21011864,53.846383,None,0.135555029318402,0.364423040453014,39.18,-76.5389,Republican,Democrat,31.373,2.923000000000002,0.009,24003,local solar,27.052063,renewables,0.5023933176718667,IPP Non-CHP,Brandon Shores LLC,,,,,,
628,Crystal River,,6455,0,,1478.4,0.0,0.3895,0.3895,40.0,40,5042303.0,,0.0,FL,3037.603,-0.1590503,0.123951153,2320.797,0.094701468,5028721.99,-0.1005969,205.199918,23.8209743,0.486014339,,FRCC All,0.0774167343872345,0.735206632639374,0.0,0.0364281756334415,2.1608,0.0407,2.1257,160494.84,87243959.28,11742.93,219,14,25,24,39,550.989604,0.073722207,Coal,"['BIT', 'BIT']",2,"['NG', 'NG', 'NG', 'NG', 'NG', 'NG']",82644000,0.310417361703805,-2648709.7964345,-35500162.00574509,53.816297,None,0.074678734025661,0.740780814427665,28.9656,-82.6977,Republican,Republican,43.574,7.869,0.007103736263736241,12017,local solar,36.233671,renewables,0.6732843584537227,Electric Utility,"Duke Energy Florida, LLC",Investor Owned,,,,,
645,Big Bend,,18454,0,,486.0,0.0,0.383,0.383,38.0,38,1632101.0,,0.0,FL,973.771,-0.2787907,0.131171925,614.267,0.082744901,1481733.49,-0.1529398,199.597066,,,Yes,FRCC All,0.0774167343872345,0.735206632639374,0.0,0.0364281756334415,1.0659,0.0219,1.0891,87091.05,41562643.97,6296.9,25593,50,61,31,46,66.427636,0.042451619,Coal,['BIT'],1,"['SUN', 'NG', 'NG', 'NG', 'NG']",0,0.404690724526214,,,49.381936,None,0.074678734025661,0.740780814427665,27.7944,-82.4036,Republican,Republican,30.753,4.789999999999999,0.001865193370165748,12057,local solar,31.79931,renewables,0.6439461992741637,Electric Utility,Tampa Electric Co,Investor Owned,Net-zero carbon emissions from power plants by 2050,2050.0,60% reduction in CO2 emissions by 2025; 80% reduction in CO2 emissions by 2040 (2000 baseline),Voluntary,Does not utilize the GHG Protocol Corporate Standard to define the scope of its Carbon-Reduction Target
667,Northside Generating Station,,9617,0,,595.0,0.0,0.3115,0.3115,54.0,54,1623464.0,,0.0,FL,1385.739,0.00157637,0.149312729,441.238,0.047543188,1886992.74,-0.0073476,203.322584,,,Yes,FRCC All,0.0774167343872345,0.735206632639374,0.0,0.0364281756334415,1.2774,0.0331,1.2692,110917.08,51096151.67,8201.98,5360,40,49,35,40,450.3817,0.193917737,Gas,"['BIT', 'BIT']",2,"['DFO', 'DFO', 'DFO', 'DFO', 'NG']",0,0.181312530906493,-14384435.56602107,-5768537.718388296,63.234768,None,0.074678734025661,0.740780814427665,30.4172,-81.5525,Republican,Republican,37.267,7.519000000000002,,12031,regional solar,44.12639300000001,renewables,0.6978185323618172,Electric Utility,JEA,Municipal,,,,,
703,Bowen,,7140,0,,3498.6,0.0,0.3065,0.3082351797862002,50.0,49,9452106.0,,0.0,GA,5508.37,-0.1740065,0.122061737,5276.637,0.116926691,9260206.08,-0.1075906,205.199876,29.4066322,0.325815496,,SERC South,0.192447136054513,0.515128812020862,0.0,0.0229345496863847,6.7016,0.1689,6.8377,604643.54,277651904.3,46749.49,7194,39,33,55,67,256.902801,0.064479305,Coal,"['BIT', 'BIT', 'BIT', 'BIT']",4,0,530800000,0.997891949691595,-77240630.21095352,-100650509.4436195,44.422304,None,0.153592744518301,0.456306095133992,34.1256,-84.9222,Republican,Republican,54.293,2.990000000000002,0.01191666666666667,13015,local solar,24.509968,renewables,0.5517491393512592,Electric Utility,Georgia Power Co,Investor Owned,,,,,
876,Kincaid Generation LLC,2027.0,59918,2,2027.0,1319.0,1319.0,0.34,0.34,55.5,56,3933111.0,60.0,1.0,IL,1783.968,-0.0567858,0.091122563,721.593,0.03685795,4106612.41,-0.0368218,209.759957,27.5770203,0.704297607,,RFC West,0.355669846187123,0.277369781427154,0.0517378508685191,0.00347794505135463,1.3218,0.0339,1.3309,126928.9,60061950.22,9790.8,554,8,4,30,56,11.373677,0.01541604,Coal,"['RC', 'RC']",2,0,62066000,0.996446551558601,-5037235.708834899,40138705.66317395,38.444926,None,0.237104081209513,0.113896706725928,39.590556,-89.496389,Democrat,Democrat,54.134,5.866,,17021,local wind,18.885067,renewables,0.4912239133975704,IPP Non-CHP,Dynegy Kincaid Generation,,,,,,
879,Powerton,2030.0,12384,2,2030.0,1785.6,1785.6,0.173,0.173,49.5,50,2701322.0,58.0,1.0,IL,3065.455,0.673678877,0.103261296,3102.932,0.104523726,6314958.24,0.779796473,212.722343,29.3499063,0.49433271,,RFC West,0.355669846187123,0.277369781427154,0.0517378508685191,0.00347794505135463,1.7394,0.0451,1.7537,170164.64,79953391.52,13179.91,15582,33,18,58,66,102.01834,0.241526981,Coal,"['SUB', 'SUB']",2,0,0,0.99897991759976,-3679351.581995666,-1497877.158277559,47.104282,None,0.237104081209513,0.113896706725928,40.5408,-89.6786,Democrat,Democrat,45.235,5.609999999999999,,17179,regional wind,26.912108,renewables,0.5713303941242539,IPP Non-CHP,Midwest Generations EME LLC,,,,,,
889,Baldwin Energy Complex,2025.0,5517,2,2025.0,1259.6,1259.6,0.624,0.6239477611940298,51.5,51,6885339.0,55.0,1.0,IL,2385.532,0.071357131,0.076009356,2312.04,0.073667707,6583248.85,-0.1162724,209.759712,21.9491697,0.349679286,,SERC Midwest,0.674326451274613,0.110060796736299,0.0791262703956329,0.00360824342507631,1.8489,0.0479,1.8601,176168.08,83813399.45,13566.3,561,25,4,58,23,14.483764,0.007133564,Coal,"['RC', 'RC']",2,0,456531000,0.997995277790093,1203163.666998425,19624535.58724258,33.580415,None,0.237104081209513,0.113896706725928,38.205,-89.8544,Democrat,Democrat,57.28,14.304,0.006997802197802202,17157,regional wind,13.599249,renewables,0.4049756085504005,IPP Non-CHP,Dynegy Midwest Generation Inc,,,,,,
963,Dallman,,17828,0,,230.1,0.0,0.47,0.47,14.0,14,946676.0,,0.0,IL,424.823,-0.4082446,0.063462863,416.767,0.062259404,1369679.87,-0.0373807,204.611817,,,Yes,SERC Midwest,0.674326451274613,0.110060796736299,0.0791262703956329,0.00360824342507631,1.2519,0.0325,1.262,120982.08,57067096.19,9351.44,30441,58,53,65,63,13.276815,0.03512752,Coal,"['BIT', 'BIT']",2,0,0,0.992313245844291,-1933435.418219583,6671564.163043601,44.479312,None,0.237104081209513,0.113896706725928,39.754803,-89.602389,Democrat,Democrat,36.418,6.73,0.01853698630136984,17167,regional wind,24.897589,renewables,0.5597566122425635,Electric Utility,City of Springfield - (IL),Public Power,Zero CO2e emissions by 2045 (applies to electric generating units),2045.0,--,Mandatory,Not explicitly addressed
976,Marion,,17632,0,,99.0,0.0,0.7216666666666667,0.7216666666666666,60.0,60,625673.0,,0.0,IL,2805.653,0.697914744,0.515507106,446.811,0.082096484,1151210.79,0.090793944,211.522003,,,Yes,SERC Midwest,0.674326451274613,0.110060796736299,0.0791262703956329,0.00360824342507631,3.8961,0.1009,3.9104,362492.73,177602655.52,27942.66,2993,19,23,29,36,0.51495,0.001129904,Coal,"['BIT', 'BIT', 'BIT']",3,"['NG', 'NG']",2026000,0.934209376871065,,,33.0783,None,0.237104081209513,0.113896706725928,37.619747,-88.953114,Democrat,Democrat,44.153,8.118000000000002,0.01997876712328765,17199,regional wind,14.01888,renewables,0.4238089623711013,Electric Utility,Southern Illinois Power Coop,Cooperative,Zero CO2e emissions by 2045 (applies to electric generating units),2045.0,--,Mandatory,Not explicitly addressed
983,Clifty Creek,,9269,0,,1303.8,0.0,0.4408333333333334,0.4408333333333333,67.83333333333333,66,5034223.0,,0.0,IN,3506.616,0.20647086,0.110797172,4548.169,0.143706714,6494364.83,0.142240684,205.199901,30.1593268,0.476466217,,RFC West,0.355669846187123,0.277369781427154,0.0517378508685191,0.00347794505135463,4.0548,0.0997,4.0332,380078.12,181200362.93,28905.75,13932,43,24,69,57,147.151581,0.067264467,Coal,"['BIT', 'BIT', 'BIT', 'BIT', 'BIT', 'BIT']",6,0,648272000,0.998209590243987,0.0,0.0,48.079125,Introduced,0.578453961982309,0.293217129899596,38.7378,-85.4206,Republican,Republican,51.312,5.125,0.01494909589041096,18077,local solar,25.660375,renewables,0.5337113560198943,Electric Utility,Indiana-Kentucky Electric Corp,Investor Owned,,,,,
994,AES Petersburg,2025.0,9273,2,2025.0,1341.8,1341.8,0.4735,0.4735,41.5,41,5565186.0,48.0,1.0,,,,,,,,,,,,,RFC West,0.355669846187123,0.277369781427154,0.0517378508685191,0.00347794505135463,4.9986,0.1257,5.0131,458960.61,220614940.59,35402.53,2713,17,11,41,69,141.6195105,0.046120819,Coal,"['BIT', 'BIT', 'BIT']",3,"['DFO', 'DFO', 'DFO']",273165000,0.998096221152729,3209305.186156614,48707495.37511477,31.637496,Introduced,0.578453961982309,0.293217129899596,38.5281,-87.2525,Republican,Republican,59.534,2.798000000000002,0.02174,18125,local solar,9.108369,renewables,0.2878979107575391,Electric Utility,Indianapolis Power & Light Co,Investor Owned,,,,,
997,Michigan City,2028.0,13756,2,2028.0,540.0,540.0,0.314,0.314,49.0,49,1485359.0,54.0,1.0,IN,685.226,0.039968675,0.087870376,716.11,0.091830804,1635741.07,0.004306892,209.760257,7.89935222,0.506489133,,RFC West,0.355669846187123,0.277369781427154,0.0517378508685191,0.00347794505135463,0.4804,0.0129,0.4865,48810.35,22557943.97,3737.32,27682,63,59,68,64,164.817273,0.217893664,Coal,['SUB'],1,0,260802000,0.985587210573313,-6463472.881123791,8838954.824527143,42.917768,Introduced,0.578453961982309,0.293217129899596,41.7208,-86.9086,Republican,Republican,39.942,8.612000000000002,0.003798913043478264,18091,regional wind,22.664372,renewables,0.5280883199704142,Electric Utility,Northern Indiana Pub Serv Co,Investor Owned,,,,,
1001,Cayuga,2026.0,15470,2,2026.0,1062.0,1062.0,0.4905,0.4905,52.0,52,4562813.0,56.0,1.0,IN,1665.918,-0.2536267,0.073448549,4272.198,0.188356655,4654227.43,-0.0467713,205.199926,30.1869108,0.665454359,,RFC West,0.355669846187123,0.277369781427154,0.0517378508685191,0.00347794505135463,2.6255,0.068,2.6315,254264.18,119849957.1,19624.99,1502,32,7,64,45,566.901435,0.258965349,Coal,"['BIT', 'BIT']",2,"['DFO', 'DFO', 'DFO', 'DFO', 'NG']",285671000,0.993965874617989,-8109836.611150161,16887493.69102139,40.718657,Introduced,0.578453961982309,0.293217129899596,39.9242,-87.4244,Republican,Republican,57.41,3.625,0.006667233566433566,18165,local wind,19.907946,renewables,0.4889146024634358,Electric Utility,"Duke Energy Indiana, LLC",Investor Owned,,,,,
1004,Edwardsport,,15470,0,,804.5,0.0,0.537,0.5447936606587942,10.0,10,3840179.0,,0.0,IN,56.445,-0.1558995,0.003874961,826.626,0.056748044,3480710.92,-0.0215433,238.951517,,,Yes,RFC West,0.355669846187123,0.277369781427154,0.0517378508685191,0.00347794505135463,,,,,,,799,15,5,43,54,21.25049,0.013005817,Coal,"['SGC', 'SGC', 'SGC']",3,0,0,0.709393566997318,,,,Introduced,0.578453961982309,0.293217129899596,38.8067,-87.2472,Republican,Republican,46.499,0.382000000000005,,18083,,,,,Electric Utility,"Duke Energy Indiana, LLC",Investor Owned,,,,,
